Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
2042.6519359758627	-658.4744870131835	-396.8506969176233	-309.79102218598126	-266.5265840015241	-234.18318499376377	-212.45110242068768	-197.2611877110142	3.05783265952033E-4	1.5752263453556857E-4	1.2390053225070619E-4	1.0424251483471323E-4	9.31480554575025E-5	8.251377848054502E-5	7.512453716030755E-5
2043.5857670348428	-658.3781445501372	-396.8516859194885	-309.8689936853945	-266.38478913690363	-234.28184027390347	-212.4180943918499	-197.1115198559486	3.057354629209868E-4	1.5752743384037153E-4	1.2384697614972552E-4	1.0435615620767584E-4	9.311479870870646E-5	8.265397791206808E-5	7.497205197758174E-5
2044.5196404950166	-658.4832713995129	-396.8267125704636	-309.78023386523125	-266.25607771852185	-234.18568289445506	-212.6802265847271	-197.47803051597796	3.057565130193162E-4	1.5752353279957572E-4	1.2388466552938464E-4	1.0425103559275777E-4	9.316111980567954E-5	8.255972298689269E-5	7.497197938768307E-5
2045.453493277624	-658.5049983328208	-396.95798700116575	-309.8377697356045	-266.37211582809687	-234.16741530183288	-212.49241784960032	-197.5654942158323	3.0573088617286424E-4	1.5750872811566671E-4	1.238757226328885E-4	1.042073968288102E-4	9.312543315438306E-5	8.254280015803255E-5	7.50397263316807E-5
2046.3873252176797	-658.5049983328208	-396.9263115289311	-309.82081553861497	-266.33626531596695	-234.30660036454597	-212.49297258393332	-197.1041406014791	3.0573088617286424E-4	1.5752199381158228E-4	1.2384657323979493E-4	1.0426438556019429E-4	9.309428265287577E-5	8.254726096389335E-5	7.490194088836377E-5
2047.3211422512088	-658.5282400874421	-396.9111803950121	-309.9682227052748	-266.2799848488399	-234.2721150343617	-212.54868588596582	-197.3627338569898	3.057282439599591E-4	1.574925614620643E-4	1.2385891888506642E-4	1.0435721599242923E-4	9.312433285080822E-5	8.263376035032015E-5	7.510496045441854E-5
2048.2549543422	-658.4777286015451	-396.9330764090021	-309.8303113773465	-266.4683913971697	-234.31458743661642	-212.75116023624486	-197.12539777102378	3.0573843454549085E-4	1.5749436824015578E-4	1.2388872719588126E-4	1.0423562893170132E-4	9.314760342242689E-5	8.26504344896696E-5	7.505098219688515E-5
2049.1888221350428	-658.4850619053468	-396.96490928468603	-309.8715059533715	-266.3112804155265	-234.33500782234802	-212.56970558112317	-197.25106500203793	3.057465197160318E-4	1.575392500738559E-4	1.2383238072882435E-4	1.0426939411015232E-4	9.321229964103623E-5	8.256303849954818E-5	7.505896393143744E-5
2050.1225991267765	-658.3793126204982	-396.9333693527927	-309.94985277950764	-266.4072672469275	-234.31515093975597	-212.40925508534366	-197.29027423205284	3.0571106357358467E-4	1.575208909462404E-4	1.2388351202213105E-4	1.0425435949747773E-4	9.317762221865265E-5	8.25047423691103E-5	7.496695141670094E-5
2051.0564237604913	-658.5248186755925	-396.9138872977346	-309.87461124435066	-266.4884814151696	-234.29755076352092	-212.37861563603985	-197.44912079263193	3.057246321029855E-4	1.575148832537535E-4	1.2387726508884938E-4	1.0429579251920375E-4	9.311054763591368E-5	8.251117428258172E-5	7.503849958849347E-5
2051.99024291034	-658.389933925122	-396.9943893440068	-309.84645840078593	-266.4489191717335	-234.35913463847504	-212.48703992976382	-197.38238116411063	3.0571168198676113E-4	1.5751842009202239E-4	1.238419570452547E-4	1.0426621085084447E-4	9.312027274447824E-5	8.242898798847408E-5	7.509127465809923E-5
2052.924099667864	-658.4191711507738	-396.8870550760378	-309.922448630631	-266.43635765463114	-234.35276979456344	-212.48526293852112	-197.45820898963854	3.0572631627872986E-4	1.5751413102491936E-4	1.2389411552012362E-4	1.0425003842401734E-4	9.319889354255548E-5	8.257820654355011E-5	7.498874481844757E-5
