Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1064.526374400081	-514.8879837697992	-172.62444710209965	-79.90962385811976	-40.89498873137765	-23.058757232671436	-14.923766983816257	-1.7057017432240367E-5	-5.9418860765358505E-6	-3.0202811675222023E-6	-3.0679957553832892E-6	-3.83604819405886E-6	-2.7920033820117487E-6
1065.4601604166635	-514.8448165332278	-172.6150954797864	-79.74630371800491	-40.90383749620782	-23.514449361373078	-14.862970320651165	-1.707111249061029E-5	-5.991037050910358E-6	-2.979726572927284E-6	-3.027909607672817E-6	-3.850516486332664E-6	-3.0270067967339486E-6
1066.3939790659574	-514.8845795641342	-172.60565680786968	-79.63908367710454	-40.98728155593077	-23.335954003713347	-15.056956717601189	-1.7066500201258115E-5	-5.962487601987522E-6	-2.956716331336455E-6	-3.0083334380792806E-6	-3.955302166574109E-6	-3.129281126799157E-6
1067.327757208408	-514.9366926656415	-172.56070122346281	-79.68659424994674	-40.921100157002606	-23.09998377818953	-14.98419016886216	-1.710221842563618E-5	-5.927964465093265E-6	-3.0328943942562283E-6	-3.018749988227518E-6	-3.7564653935530503E-6	-2.8330359205616147E-6
1068.2616103914409	-514.883580531925	-172.5933405160904	-79.69645828327963	-40.86459283696281	-23.27259556745941	-14.822345935954498	-1.7071716381549743E-5	-5.92054330838374E-6	-2.96163615172494E-6	-3.162629390211357E-6	-3.7805008176571827E-6	-2.8963034635460746E-6
1069.1954645974065	-514.8243480554471	-172.58717161118983	-79.74145109100002	-41.0018806896276	-23.47884091870351	-15.232855401933193	-1.7071587977212965E-5	-5.961948194006675E-6	-2.957577826672231E-6	-3.108653962800929E-6	-3.911196620844589E-6	-3.008602966992588E-6
1070.1292923628712	-514.811097872133	-172.57022503763437	-79.71223697704929	-40.81101553969913	-23.2060817100785	-14.827882480735962	-1.7070363302899508E-5	-5.927282785188792E-6	-3.0074092740638923E-6	-3.068659524293663E-6	-3.861342266303809E-6	-3.0769339714673536E-6
1071.0631018734582	-514.8562603145838	-172.62307604774833	-79.73278653302363	-40.98109303166469	-23.38167756389488	-15.025089502907717	-1.708573561194426E-5	-5.944730512717669E-6	-2.969371497191223E-6	-3.118899766495217E-6	-3.882975674324998E-6	-3.1069474732992063E-6
1071.9968935565355	-514.8253997080028	-172.6018175624311	-79.59701793960163	-40.89520364916987	-23.190600791438058	-14.767777191904875	-1.709690493257603E-5	-5.907303680382852E-6	-2.9805539550847946E-6	-3.1215641617183583E-6	-3.842680757805753E-6	-2.9431949574435965E-6
1072.9307232224362	-514.7754402936747	-172.53608353585005	-79.62046792038849	-40.869438046382534	-23.212086057121102	-15.218989642193684	-1.7053399787672938E-5	-5.933665681462087E-6	-2.9732382118169713E-6	-3.088212407829452E-6	-3.7318437929017564E-6	-3.091518840790482E-6
1073.8645738311418	-514.8263443019241	-172.64396331086755	-79.61449594476393	-40.95786701556709	-23.070996067063376	-14.650981616515379	-1.707438894198862E-5	-6.001482317196245E-6	-2.9617165636257786E-6	-3.0118875156385117E-6	-3.949937320894362E-6	-2.8608962107220723E-6
1074.7983514729121	-514.7955291320881	-172.59079370424152	-79.57145206417356	-40.755716444717514	-23.382117068903014	-14.782702598434229	-1.707748257652312E-5	-5.931055477907107E-6	-2.9723609688163182E-6	-3.0433630277205194E-6	-3.854753111503072E-6	-2.9749527232201964E-6
1075.7321805743563	-514.8211531719813	-172.5238207861781	-79.74442814716271	-40.74008259591129	-23.049867740408942	-14.93652446854573	-1.706709956822986E-5	-5.930515563477617E-6	-2.984978764310699E-6	-3.010880686947495E-6	-3.905720674563033E-6	-3.099035795859839E-6
1076.6660093813528	-514.8094608336687	-172.58739934265614	-79.60887923517397	-40.84551045050224	-23.231092898005787	-15.162546510306688	-1.70487094528814E-5	-5.936297258840297E-6	-3.0007534159933217E-6	-3.0566344559680746E-6	-3.826327562237521E-6	-3.0206459146204904E-6
1077.5998399973505	-514.9116638607035	-172.51381827816368	-79.50980536533254	-40.90582759512795	-23.26127167249268	-14.950894751800941	-1.7056999197036845E-5	-5.992312361694608E-6	-2.917850219265501E-6	-3.091795512486032E-6	-3.903513757561077E-6	-2.977165426175073E-6
1078.5336947215214	-514.8379478150358	-172.53892723843455	-79.6466019387756	-40.82704548868868	-23.000194380906496	-14.895638443529606	-1.708794738808017E-5	-5.951189820318939E-6	-2.9190979282696773E-6	-3.0453200623191455E-6	-3.8509727220464504E-6	-2.959965629526924E-6
1079.4675468953249	-514.8335314225405	-172.5108199737966	-79.78114303414311	-40.8457583313187	-23.118907622315668	-14.834712784450788	-1.7069910124373227E-5	-5.885168292346573E-6	-2.9787025697302418E-6	-3.004508622545218E-6	-3.7964630199556986E-6	-2.910235324260767E-6
1080.4013899270901	-514.8405426324656	-172.59348400756716	-79.55328848532268	-40.807521641254425	-23.135669997469947	-14.847660330625681	-1.7061066687924163E-5	-5.97660748279734E-6	-2.9659215565220075E-6	-3.14393872106363E-6	-3.941640342268219E-6	-3.0419935985214662E-6
1081.3352083784928	-514.793018947045	-172.521410061419	-79.6540121170027	-40.72878818958998	-23.17698798531836	-14.779498460774239	-1.7042088960168405E-5	-5.9434499712665806E-6	-2.953246004718275E-6	-3.073448999754046E-6	-3.824071051964452E-6	-2.970928738095483E-6
1082.2690199280355	-514.8329623726507	-172.60522807985544	-79.64644343405962	-40.89306539628241	-23.112549501386557	-14.776373533675304	-1.707840229250179E-5	-5.931350945142041E-6	-2.9596140922365715E-6	-3.068032093000002E-6	-3.787721949123933E-6	-2.910253416801701E-6
1083.2028280448287	-514.7737234700471	-172.63472909107804	-79.67487247713974	-40.90954518732097	-23.271742217920043	-14.777534506641901	-1.705462871153088E-5	-5.939253269728593E-6	-2.970769109951325E-6	-3.033317372524145E-6	-3.8221006944224505E-6	-3.076424519598479E-6
1084.136646335541	-514.8500256929547	-172.59085249602794	-79.69071401868548	-40.88735938734479	-23.193755481730808	-14.988882005214691	-1.70189797286776E-5	-5.978567391254466E-6	-2.972921246617333E-6	-3.0855768696146194E-6	-3.8066894679167026E-6	-3.0177506446033486E-6
1085.0704969941958	-514.7734275168428	-172.55518611371517	-79.62564017836537	-40.818152057627834	-23.27281642705202	-14.852464861594713	-1.7068125875227796E-5	-5.97220616969639E-6	-2.9528630434967298E-6	-3.0694340631081773E-6	-3.7651521771531914E-6	-3.043233940410681E-6
1086.0043072088304	-514.7245258645465	-172.4827848829329	-79.52972237020731	-40.68519614968035	-23.112162824381482	-15.0224609879347	-1.7028256315440322E-5	-5.92944084733317E-6	-2.984204571388662E-6	-3.0388394278027607E-6	-3.83764906260436E-6	-3.0171885714486867E-6
1086.9381667757561	-514.7101130727679	-172.59077120944858	-79.56961295540843	-40.7910069351395	-23.154792625118386	-14.978156168873493	-1.7071909977734047E-5	-5.983749777777286E-6	-3.0110802895776822E-6	-3.1230359060897237E-6	-3.763632254638575E-6	-3.1236906646912817E-6
