Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
848.0913918231081	34.36826594453305	34.259199891239405	34.330899419635536	34.03962298163346	34.02462782876359	33.2176298729398	33.07266076424947	-1.064533909855348E-6	9.147686761852287E-8	-3.571309234636226E-7	-5.00560268704923E-7	-4.831868676868131E-7	-6.518047229206692E-7	-8.750109736624026E-7
849.0251626402664	34.35741199553013	34.33695954208573	34.24698390215635	34.067640027829576	34.00502208454741	33.3277978612618	33.06909328011366	-1.0276344664884233E-6	1.1747918104621402E-7	-3.533994488870548E-7	-4.725045809722924E-7	-5.094331417559062E-7	-7.131288844689523E-7	-8.504387190252406E-7
849.9589417741821	34.234753985889256	34.3187602404505	34.36764048039913	34.06627151795796	34.12974445025126	33.285244265740566	32.94772644398304	-1.0170049083759727E-6	1.3971555243094008E-7	-3.491644018395739E-7	-5.0776142822089E-7	-4.919199500818438E-7	-7.435352161530703E-7	-7.344305971588102E-7
850.8927161663103	34.25772771425545	34.35078036040068	34.26878288164735	34.17313248131956	33.97674083461364	33.27022757990794	33.19135745098958	-1.011464846688466E-6	1.369890832008671E-7	-3.780325278303527E-7	-4.901453239252064E-7	-4.878190442385972E-7	-7.290001776198674E-7	-6.407675016076856E-7
851.8265258586924	34.30036639794707	34.398927618439	34.321042615175244	34.19780465641192	34.15835014813476	33.21924359893257	33.00937212086641	-1.0040417821221203E-6	1.092887670319149E-7	-3.246505153599278E-7	-5.122660796106536E-7	-4.3985445140673745E-7	-7.521133727512189E-7	-8.075045367886578E-7
852.760273051432	34.31869755592197	34.41929833342632	34.383975359797475	34.08722241116421	34.0155590797464	33.395025885917924	33.09319143341138	-9.863968109861628E-7	1.2767479507202724E-7	-3.268361385414171E-7	-4.904964475414998E-7	-4.5013314131051464E-7	-6.838808237367636E-7	-7.702695473170239E-7
853.6940643017814	34.43029058072716	34.46486340587338	34.35411890819669	34.170085965522695	34.04570637726121	33.35199091989886	33.103019524652225	-1.0344982394049377E-6	1.1591004630209117E-7	-3.5428584371714864E-7	-5.216452585476338E-7	-4.713620918497791E-7	-7.414234619249884E-7	-6.274740094366476E-7
854.6278154163881	34.31719378661364	34.52139740685622	34.44303326383233	34.260667853057384	34.05068884210454	33.314627016132526	33.214642293178116	-9.78290915490431E-7	1.109168829685806E-7	-3.360248802205016E-7	-4.847338337193673E-7	-4.758775842976965E-7	-6.229530125080021E-7	-8.788809072529728E-7
855.561608575158	34.5453557157889	34.44658971515795	34.49261978268623	34.27791038261993	34.272938484119045	33.421092356470496	33.13454503222154	-9.823982254518124E-7	9.560642031931996E-8	-3.9643947589892417E-7	-4.979425429568426E-7	-4.5805282167256085E-7	-7.080841701610421E-7	-7.826268014483033E-7
856.4954041102455	34.48951245378703	34.460812758654356	34.55427914634347	34.30739405644791	34.2304986210333	33.60870992595499	32.56709958784855	-9.9363720202668E-7	1.168886786968035E-7	-3.322265182898257E-7	-5.165525625834506E-7	-4.153831600799059E-7	-6.617127936834244E-7	-7.883756234454404E-7
857.4291708511633	34.525682060047984	34.604733274007835	34.52705497816205	34.35962223368032	34.1992259422938	33.58661041679707	33.357628769026356	-9.865158576319137E-7	1.1084375128514587E-7	-3.318223682575376E-7	-4.723925366145054E-7	-4.501294225198719E-7	-7.790561353055516E-7	-7.656587124313044E-7
858.3629659985827	34.5445838784799	34.554546831175685	34.61033442690969	34.30523630125182	34.25234032836225	33.47576459429481	33.29154220280739	-1.029645592394695E-6	1.231208646884684E-7	-3.5672106063857397E-7	-5.372381841134221E-7	-4.5275583196450933E-7	-5.889734055246706E-7	-6.594991163223096E-7
859.2967531235731	34.5327441515401	34.74939161911607	34.57275947406888	34.34584489251886	34.23207560512755	33.48108338700099	33.529176482214375	-9.73901188528782E-7	1.5442908034049812E-7	-3.4782689152420805E-7	-5.110799660278949E-7	-4.6227317999388137E-7	-7.503198963215003E-7	-7.9548601135358E-7
