Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
770.7183612580271	71.92042226996273	67.55598372220993	66.340072350204	64.03992587008646	63.10681460383866	62.80214302580465	61.63077487452672	-2.98283338436543E-6	-2.5398110777805104E-6	-2.863945992713203E-6	-2.9781076943346353E-6	-2.9418301875575856E-6	-3.137204266765985E-6	-3.3175402863192194E-6
771.6521661152813	72.06243697367609	67.61534014592569	66.48279730826616	64.24677380706582	63.05886864165465	62.77715172212232	61.842160149262504	-2.9836876098510785E-6	-2.5011702676680427E-6	-2.792690523552939E-6	-2.825629975367419E-6	-2.9123338569591158E-6	-3.167561857444622E-6	-3.3273138433364684E-6
772.5860177822071	72.10969939827919	67.59629318676889	66.52065113484859	64.09204297087022	63.05520438899597	62.91735243187709	62.0043890562195	-3.0290899061527683E-6	-2.5373043373456007E-6	-2.805227453526321E-6	-2.9390098801444526E-6	-2.8597871743887902E-6	-3.157959334194546E-6	-3.3654190820237283E-6
773.5198352304651	72.1901452280581	67.64345019931595	66.43967012539505	64.2711535213249	63.09295066363282	62.78179964829575	61.80730587301346	-3.0093431014775653E-6	-2.543444193443806E-6	-2.8290433374659498E-6	-2.9341786202996724E-6	-2.9200671412093462E-6	-3.0433157402104573E-6	-3.289179605257833E-6
774.4535968128388	72.19143802300096	67.63520323236783	66.47922065481544	64.35905554571322	63.1492682993412	62.98824380067262	61.73758284690288	-2.9860024213037325E-6	-2.496130926844288E-6	-2.827831597738078E-6	-2.9354857263127527E-6	-2.976432478404739E-6	-3.0822562760947554E-6	-3.2144380438540516E-6
775.3873827118805	72.26351742632687	67.79907678688566	66.5657833687961	64.32182726902622	63.211504554582966	62.84459165754643	62.00330369403729	-3.0039787662682407E-6	-2.5274869800059603E-6	-2.7879128576268632E-6	-2.9613734947662166E-6	-2.9146007068182108E-6	-3.1601577723417714E-6	-3.1200559379437545E-6
776.3211617269444	72.19764191564173	67.66961212394138	66.55394045412541	64.32460932327169	63.148025101257694	62.86365898698568	61.61427646932694	-2.978639870745471E-6	-2.552198456880878E-6	-2.8368823687636513E-6	-2.9388152999179146E-6	-2.835301914217621E-6	-3.1812659814361446E-6	-3.1692773679050615E-6
777.2549736766741	72.17836216557771	67.63140784949064	66.620661521703	64.2881728165916	63.11094347221984	63.05665260688825	62.03862308481565	-3.0128123647488116E-6	-2.53118339941857E-6	-2.8247363505033165E-6	-2.936372759252651E-6	-2.958312958189333E-6	-3.1106736491087338E-6	-3.3382213101795474E-6
778.1887597926783	72.20392460003495	67.75726814568043	66.57621765285731	64.23828931685004	63.11715047640933	63.01635976203463	61.698771027991405	-2.9947690963661074E-6	-2.4953033988126742E-6	-2.8158809217282833E-6	-2.9772647318555595E-6	-2.879334341275962E-6	-3.0573106916028243E-6	-3.211630102697551E-6
779.122526951662	72.26138393953443	67.726082307597	66.60585393682122	64.33572512013572	63.329899619023	62.91251181133769	61.80742963861961	-2.9748135975424077E-6	-2.528000824999452E-6	-2.8204996783472863E-6	-3.001182485442102E-6	-2.864105416116759E-6	-3.1239905900281673E-6	-3.1035284855009403E-6
780.056357777826	72.40702276024967	67.7942341323942	66.75032922774554	64.34276343137026	63.26493570788039	63.12384229898453	62.10495841732392	-2.994736285862878E-6	-2.525578614263809E-6	-2.8427734946166077E-6	-2.961401228537334E-6	-2.866974884248411E-6	-3.1207404237693044E-6	-3.2313790096838094E-6
780.990159412018	72.29681100230664	67.75278184252481	66.64531036391854	64.33764207788876	63.32298821790351	63.271823200312525	61.926380444031494	-2.985493772383928E-6	-2.5182704413554996E-6	-2.88640968995759E-6	-2.9365378748285123E-6	-2.9657261763066915E-6	-3.11851536595833E-6	-3.1714460365747952E-6
781.9239262285143	72.42319731693715	67.80484545355041	66.74341683387756	64.3816169361983	63.44477651102675	63.057385530661456	61.91872897285681	-2.9643827083404356E-6	-2.5063701285089706E-6	-2.8335099209625425E-6	-2.8911566892361404E-6	-2.89700827930237E-6	-3.186856098216182E-6	-3.2883437024338095E-6
782.8577451547299	72.33386676944792	67.84164362276594	66.74061343967915	64.44494474785668	63.3642862290144	63.13838258250193	62.31257300193493	-2.9945067439285356E-6	-2.495739582060154E-6	-2.8320504256804796E-6	-2.9160169669031536E-6	-2.8180284873240304E-6	-3.0602988479007186E-6	-3.244651788445412E-6
783.7915073529388	72.47233836911619	67.86881558100383	66.78720911741257	64.45041190407106	63.48597513801522	63.12871306728233	62.11611877324489	-2.950415991090469E-6	-2.483597556769511E-6	-2.8223385685609986E-6	-2.9140012162991218E-6	-2.8555478865526266E-6	-3.039515180387333E-6	-3.114824689883167E-6
784.7253169200327	72.532426728867	67.93114824468891	66.79048248380423	64.58261210684266	63.30586198965708	63.23745231872255	62.26002156791779	-2.9796323153309678E-6	-2.517441732401935E-6	-2.8115935918426416E-6	-2.9182379944724384E-6	-2.863021047727339E-6	-3.112488733908033E-6	-3.210358371729676E-6
785.6591218607321	72.54750390537083	67.99450028936069	66.84723261669278	64.57627257598298	63.42506745043728	63.14836087619717	62.3581722676754	-2.99492978806889E-6	-2.518936064503137E-6	-2.8242904772568164E-6	-2.9100823731822474E-6	-2.804897495092197E-6	-3.0837894647915785E-6	-3.2522514066549092E-6
786.5928792533766	72.50706120673567	67.96056603143613	66.87737769335509	64.43358526272434	63.46943793197473	62.931859686293386	62.175641274796085	-2.939116340835437E-6	-2.526841406283876E-6	-2.764396327690436E-6	-2.970888104868394E-6	-2.8754830770597473E-6	-3.213272555090501E-6	-3.24814001964988E-6
787.5266780444279	72.56894406955689	68.01541467880209	66.91591708138586	64.57683679142168	63.5720449305243	63.28924142975699	62.43284666366302	-2.9853882533592037E-6	-2.5048503477481502E-6	-2.8147362253068105E-6	-2.9041607314928512E-6	-2.8928480049132368E-6	-3.1580371647993135E-6	-3.2078325029672366E-6
788.4604598101254	72.52574022579938	68.13588292089601	66.82872617542743	64.66754812108618	63.4599824299415	63.191908570853144	62.155293764976356	-2.9582100063819754E-6	-2.4993573452241214E-6	-2.7949173249334353E-6	-2.933079731444043E-6	-2.9423370936064057E-6	-3.1268348365748398E-6	-3.2178682830361755E-6
789.3942467528451	72.53081277385354	68.05837111050884	66.91474379897117	64.5968200681465	63.63681724005275	63.39065511660142	62.362472322697826	-2.9563479406918055E-6	-2.5411784940864834E-6	-2.7794830091205014E-6	-2.9544346241802184E-6	-2.877225269957737E-6	-3.208515995679846E-6	-3.1751016151742515E-6
790.3280629591817	72.63627121038735	68.05725780874491	66.96242946237325	64.70218521143708	63.77959245608913	63.47761172462594	62.43680874372904	-2.8995838980489983E-6	-2.5286096462694076E-6	-2.8544784861156078E-6	-2.8763412253175508E-6	-2.9169600147346564E-6	-3.1320428215609095E-6	-3.2453468883218733E-6
791.2618342158664	72.65133053157479	68.09743494416277	67.05707786232233	64.57050724859748	63.60861822631624	63.34433604031801	62.43252991426449	-2.9434775941636956E-6	-2.519517516323856E-6	-2.8087647537750407E-6	-2.899436291535574E-6	-2.888755368353333E-6	-3.1669894638722355E-6	-3.188554959281204E-6
792.1956308717583	72.75566125754267	68.07108691645165	67.04139884188771	64.54071592007365	63.67597284499142	63.25409760190682	62.27472619483104	-2.9316952543124173E-6	-2.5106233005027924E-6	-2.789595904146208E-6	-2.924478785148207E-6	-2.912390399445751E-6	-3.0668015395573703E-6	-3.3230021591113858E-6
793.1294365615688	72.70397516898811	68.16265947123368	67.06733534261585	64.77014541413102	63.5910359463758	63.27714668891647	62.13056132541253	-3.010068831904979E-6	-2.4840680416442847E-6	-2.8386661411753853E-6	-2.9564064617683264E-6	-2.816872993966079E-6	-3.095385007088734E-6	-3.3108107278844644E-6
794.0632321714005	72.61626077536494	68.14815101586282	66.99630436077715	64.7174483431237	63.679126646783615	63.334381028332494	62.368324307868114	-3.0046664653467507E-6	-2.5036156560069415E-6	-2.8247088028129778E-6	-2.9429836305562785E-6	-2.918954660238653E-6	-3.2540658634634933E-6	-3.30238723077772E-6
794.9970247274466	72.77575520146638	68.17140510181586	67.00446535795928	64.54094118944236	63.72692487719986	63.408005029640414	62.686070028979046	-2.948881712051799E-6	-2.514860941685873E-6	-2.807326067901021E-6	-2.952413457715027E-6	-2.8426362624981707E-6	-3.1528039181243577E-6	-3.349755372675174E-6
812.3314992018755	72.77575520146638	68.50222591062386	67.1769843377173	65.00043638689178	63.93065523604552	63.27069139819253	62.85762088459272	-2.948881712051799E-6	-2.3590968940282375E-6	-2.7256818784359566E-6	-2.8682746582959443E-6	-2.850536051704234E-6	-3.065373560974497E-6	-3.0903540636529887E-6
813.2653110366873	72.89048676006496	68.45505231370528	67.20235411450267	64.9970141723752	64.02747156967719	63.17243223976005	62.704906224631344	-2.9793456725280497E-6	-2.320868924999517E-6	-2.765525711550577E-6	-2.835847068725976E-6	-2.79364914107985E-6	-3.0996739917811604E-6	-3.3232769356174725E-6
814.1990397449541	73.00829645618796	68.47651411530872	67.27997831851243	65.11550779214927	64.02286336239841	63.17929531633854	62.86175534874201	-3.0214504861860846E-6	-2.336362366318483E-6	-2.702831774562518E-6	-2.9183357804055707E-6	-2.7448992387797656E-6	-3.215849890365958E-6	-3.1951927130430323E-6
815.1327816039131	72.90527393110096	68.48345616273582	67.18214433416725	65.17792645628963	64.08768316109975	63.10030272603035	62.51217626722959	-3.0164811714889915E-6	-2.3540973253492346E-6	-2.70683531084027E-6	-2.8640895964355683E-6	-2.8937057771892695E-6	-3.0429124026476727E-6	-3.2795294607099553E-6
816.0665826939165	72.81265235226601	68.55948692249756	67.18140779659151	65.07201317910638	63.94485572228829	63.235503412783146	62.88546681174865	-3.044556398631331E-6	-2.33178455346343E-6	-2.7654276646026294E-6	-2.8981583807841533E-6	-2.649962469240382E-6	-3.087125132228668E-6	-3.2505773140369327E-6
817.0003828501533	72.82671748101711	68.5636400418977	67.15645844936371	65.11461442496095	63.73843220372995	63.22085292027755	62.69779413995835	-2.9756207813736303E-6	-2.3396524423021628E-6	-2.7388481528428123E-6	-2.900196520150714E-6	-2.828633143237214E-6	-3.157998836482922E-6	-3.281708869264785E-6
817.9342494501878	72.86991592217237	68.63665351706247	67.21903488710522	65.16726167925766	64.20186829898093	63.06849487329071	62.71598907789359	-2.9903613516095743E-6	-2.337109240259052E-6	-2.7402625811884457E-6	-2.8819130039664038E-6	-2.685452882689567E-6	-3.1397343479669956E-6	-3.3710586335677873E-6
818.8680124733244	72.93519578874111	68.5819132073472	67.21767441555858	65.14023194355624	64.0412054831783	63.34107861600139	62.64889154296655	-3.001977137391163E-6	-2.3308108304842296E-6	-2.7396878549224913E-6	-2.89980399783001E-6	-2.768651976594279E-6	-3.027712012398622E-6	-3.24067044775595E-6
819.8017740313794	72.85162502713501	68.5215909195443	67.23213778734207	65.0483923809869	64.15453928626246	63.30628749999133	62.80520431983929	-2.9811595167032767E-6	-2.3500535514449654E-6	-2.789520093601002E-6	-2.8520040783708392E-6	-2.7758421464943716E-6	-3.144558373384309E-6	-3.3175726194706616E-6
820.7355055726556	72.87973127234727	68.58240019405882	67.24187963232399	65.10905235792909	64.1913523375988	63.134092569351196	62.73945683928636	-3.0071710372165284E-6	-2.3393246577099692E-6	-2.709534904118331E-6	-2.8744142611037733E-6	-2.7127679909298133E-6	-3.10745233639002E-6	-3.176315399019264E-6
821.6692275538229	72.93491814099252	68.5551180653274	67.2155907034874	64.9783103700195	64.23598957724042	63.072890190238304	62.553636039678864	-2.998047199557455E-6	-2.3665254141815744E-6	-2.7343588151520473E-6	-2.9175076763873786E-6	-2.6902894952991958E-6	-3.166829978179232E-6	-3.088603329530468E-6
822.6029887872724	72.88918592128903	68.48879369596641	67.19710822254419	65.1636119463614	64.1184973600838	62.97086790745909	62.9286912352993	-2.9955596590098307E-6	-2.3442971692040832E-6	-2.789935985733909E-6	-2.8684439554924995E-6	-2.7811685814354046E-6	-3.0774558939786125E-6	-3.2387454190631706E-6
823.5367179614103	72.75529651343822	68.4477618932724	67.19530922099948	65.01924769793239	64.15992739465501	63.11098555814136	62.68634136651571	-2.9629470512921143E-6	-2.3489450364376128E-6	-2.728794070264016E-6	-2.8682335448629873E-6	-2.6316154909084255E-6	-3.224060147137198E-6	-3.155057051920201E-6
824.4705180297881	72.80321988556534	68.46533328481019	67.15167960301042	65.12755421016898	64.01243687917788	62.918437491086394	62.72787726727816	-2.9772021536577818E-6	-2.332466576312163E-6	-2.767178167516855E-6	-2.8717093037727333E-6	-2.7171494110788E-6	-3.1527176763090193E-6	-3.2182625334882168E-6
825.4047808694622	72.76235307659954	68.46022877035041	67.19307945296168	64.94764170263495	64.05108672711584	62.88475112887946	62.51595270117888	-2.927682860450159E-6	-2.3170802769309615E-6	-2.7401628880109586E-6	-2.8744735043361634E-6	-2.785113065975644E-6	-3.105507865917037E-6	-3.260285456787649E-6
826.3385207768451	72.76232079043984	68.39271402110656	67.07546554654837	64.90452619322708	63.954578237401115	63.152753744613044	62.48864894417616	-3.0148295827879578E-6	-2.3806068658564913E-6	-2.7247728024978944E-6	-2.8679241656324333E-6	-2.7804047020940046E-6	-3.0236868082678928E-6	-3.315256525625982E-6
827.2723853014486	72.71614507772028	68.36907676172753	67.06824665814638	64.92118810117245	64.07213160064485	63.37028638679873	62.567145941349175	-2.9578697799942225E-6	-2.353892763924713E-6	-2.696331602326194E-6	-2.907028351168504E-6	-2.789982658780223E-6	-3.131222776207144E-6	-3.221361822544543E-6
828.2061086358799	72.80558210331947	68.40214419364929	67.05584233403206	64.98507712142808	63.95891513675451	63.27921050516042	62.7836606078423	-2.9552383157415048E-6	-2.3239232647664628E-6	-2.7722190580635247E-6	-2.844703729892978E-6	-2.6973263320079026E-6	-3.1673558556681667E-6	-3.191792894602477E-6
829.1398141693826	72.64623743109405	68.35015293334921	67.0183770544827	65.03289971394199	64.20197424126997	63.05458863689141	62.47163667988319	-2.984015049029064E-6	-2.3247053908069905E-6	-2.693617491864725E-6	-2.8976685429704235E-6	-2.7145881319246733E-6	-3.102211823104208E-6	-3.0837756937617298E-6
830.0735403929688	72.58824726939201	68.36732084055741	67.10500959381461	64.90800119617155	64.04120437469747	63.21246971054511	62.64470205914516	-2.970490327499286E-6	-2.296685441958502E-6	-2.7371276803935993E-6	-2.8193616749246027E-6	-2.7380947506502103E-6	-3.1457366836048497E-6	-3.322295230927114E-6
831.0072776521196	72.66684898175299	68.30809983300666	66.93511092960834	64.87356758224112	63.923662749429546	63.22969524562359	62.31390116077203	-2.9354185708827863E-6	-2.3198349348657686E-6	-2.749102318292101E-6	-2.8675000067587326E-6	-2.764824613636925E-6	-3.1696923453126144E-6	-3.371180809497222E-6
831.9409764684199	72.59831828810275	68.26724355109036	66.9169856570661	64.89565104778323	63.79789113170571	62.89779085598209	62.38186568136398	-2.923411806479107E-6	-2.3139015735764725E-6	-2.782399738340222E-6	-2.8410637422338173E-6	-2.818460056790961E-6	-3.193177071691736E-6	-3.1153597040021525E-6
832.8747345334049	72.5839342623949	68.25705740662913	66.89749081656336	64.72626663105828	63.89855326546563	63.15652812340043	62.33661312266038	-2.94545236355435E-6	-2.328501387663818E-6	-2.7392437117597867E-6	-2.8360471534587343E-6	-2.695598148012878E-6	-3.129434250203413E-6	-3.4066595594247365E-6
833.8084797982918	72.53742126561701	68.21037557472785	66.90925199463963	64.75621106794902	63.88777170744207	62.81568977710876	62.283367354136246	-2.955364031344309E-6	-2.3258422080646706E-6	-2.7266893801395763E-6	-2.930397982419346E-6	-2.740768401243368E-6	-3.1771647331688515E-6	-3.3361431674859874E-6
834.7421697550744	72.43877813313156	68.12964763926963	66.8207286208868	64.80857478614364	63.7898632031348	63.13588256185705	62.15894342443118	-2.942552795682032E-6	-2.316342348236439E-6	-2.7821986770211796E-6	-2.8367373197988823E-6	-2.6965139520312997E-6	-3.070754216635702E-6	-3.288224693362318E-6
835.6759319216932	72.48921858146787	68.15143730056782	66.88791015148163	64.66211949075971	63.64719781279564	62.902435182170436	62.40331183603177	-2.9626289359409416E-6	-2.3380388255212522E-6	-2.7908614630672683E-6	-2.8134749432774165E-6	-2.7164160557564083E-6	-3.1431346805659824E-6	-3.346951023285545E-6
836.6096531055884	72.42761706653982	68.1733342918257	66.8485425196588	64.65454607669797	63.90390649851825	62.87454043938355	62.18600853074055	-2.9042805257124393E-6	-2.3277519435650513E-6	-2.7111119757175658E-6	-2.832693915288785E-6	-2.602360583439802E-6	-3.1099846934439174E-6	-3.2769128993306743E-6
837.5439605239341	72.44764924701303	68.0746006599317	66.78220187202096	64.55815902033022	63.918734615875614	62.85690092634071	62.49900817584533	-2.9026159780925825E-6	-2.326423363084557E-6	-2.720451727146304E-6	-2.897808573203316E-6	-2.7469207135942097E-6	-3.10564116344683E-6	-3.220657776868821E-6
838.4776736827804	72.38409678451717	68.07292863850792	66.75031256228685	64.66632110731942	63.82839267949263	62.90108953348615	62.27660750024594	-2.898641569068581E-6	-2.26093253397896E-6	-2.706985008037291E-6	-2.860381006739745E-6	-2.7882533102318137E-6	-3.1879480517307704E-6	-3.24428121968408E-6
839.4113777163923	72.25571941025555	68.08249555528164	66.78285553157329	64.57657273433038	63.85975190583203	62.845285605977885	62.23933898542936	-2.9354822808115035E-6	-2.3180174003104004E-6	-2.7655534384619744E-6	-2.809645392246E-6	-2.726627374229784E-6	-3.107342279899474E-6	-3.242725505372691E-6
840.3451616508651	72.3299700440839	68.09418301656842	66.7908824339509	64.5846651462572	63.78658383587996	62.94737999479879	62.58415637910366	-2.878771516820911E-6	-2.2696991702184403E-6	-2.7197471891918516E-6	-2.874425494700888E-6	-2.750235066222305E-6	-3.211191280589885E-6	-3.499794895995504E-6
841.2789849406174	72.29116682615131	68.08849788146715	66.79619906991721	64.52979547104665	63.74278826432096	62.94675059955228	62.58415637910366	-2.885149053898778E-6	-2.3029331030592084E-6	-2.712417830147472E-6	-2.892492148944521E-6	-2.744092578895992E-6	-3.0264170936048607E-6	-3.499794895995504E-6
842.2127397933884	72.45618530921638	68.11595157906413	66.78912898600102	64.6842951274344	63.64773500710726	62.879393085837364	62.83211657061027	-2.925335312244093E-6	-2.322873020854985E-6	-2.7323137812279975E-6	-2.854647382264641E-6	-2.7114066579345347E-6	-3.088913191590361E-6	-3.5238240668481933E-6
843.1464580180341	72.29686706047505	68.07846254482865	66.79823095947503	64.62131212438855	63.753063428733086	63.05361187661236	62.93700599326537	-2.8800280773641366E-6	-2.3225138401805243E-6	-2.7271569736651076E-6	-2.875374844467249E-6	-2.696587238813921E-6	-3.132791087758055E-6	-3.3780151065609883E-6
844.0802346522496	72.30456507951021	68.11218014918268	66.78136234357953	64.65146954357624	63.71046736256944	63.09283918006854	63.03274169965432	-2.919507791113022E-6	-2.3108990651718897E-6	-2.761096660951022E-6	-2.829661965233601E-6	-2.7165705364397806E-6	-2.9914837342140746E-6	-3.4559125048534575E-6
845.0140023750932	72.34086249396205	68.0906262230128	66.80140087157488	64.66826221772602	63.80737558255593	62.960609668357804	62.88465637369798	-2.880888952032346E-6	-2.3122030899196653E-6	-2.7080668363346457E-6	-2.8429509417025363E-6	-2.7075557984205384E-6	-3.157452348886996E-6	-3.425862091343545E-6
845.9477087839517	72.39358284510672	68.10735282922785	66.80332406088709	64.74756874356952	63.812845454447796	63.201044009490445	63.07441742832844	-2.91901428890127E-6	-2.2943795474153765E-6	-2.7110892519190556E-6	-2.8320273370899648E-6	-2.7877679408766325E-6	-3.073869620053894E-6	-3.474464992250502E-6
846.8814810843138	72.31691525038332	68.08780160484214	66.83864626735449	64.73169709529195	63.67476699418492	63.08483641865578	62.86041572460761	-2.9328268791009213E-6	-2.300756027583123E-6	-2.712627829000333E-6	-2.910919251246613E-6	-2.7288607918132812E-6	-2.946472506974474E-6	-3.4668457305844655E-6
847.8152375652458	72.34059196710587	68.10580144139628	66.80832114294171	64.61238561996392	63.74243300739262	63.11714261702516	63.022149161077465	-2.920684967284287E-6	-2.30613361744579E-6	-2.7454025144031983E-6	-2.8089525147765166E-6	-2.785603217297179E-6	-3.112206121920347E-6	-3.4153462013106683E-6
848.7489792327541	72.53204039763659	68.11415498082836	66.709243080765	64.60986682772636	63.76329152534405	63.08118677003817	62.99529898854402	-2.8800505075741154E-6	-2.3164227101673076E-6	-2.754605847541888E-6	-2.878167191011668E-6	-2.7029438984037355E-6	-3.0841327622253123E-6	-3.5179802908588502E-6
