Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
889.075809533728	34.00674066878855	34.84220780680577	33.87968720793724	33.38408476965768	32.803778664105465	32.41454043781216	32.50507237189091	2.70349209556531E-7	2.6195801098333085E-7	-3.5908191620411347E-7	-5.54180741347868E-7	-6.642068177352119E-7	-8.047660363384485E-7	-8.791663185530083E-7
890.0096808688755	33.87693553883582	34.966307555014886	33.823307793587446	33.30210907970156	32.991695300572445	32.81701941991394	32.43826455966784	2.3450911249353482E-7	2.2841064757080998E-7	-3.468579908040548E-7	-4.7215658041477673E-7	-6.960257024590089E-7	-8.444730216340901E-7	-8.66128371834472E-7
890.9435614777924	33.96411346178502	34.893849502007164	33.91405319571495	33.428382084837985	32.90705707006984	32.55090184509754	32.45958906526749	2.545423219670528E-7	2.734775851247022E-7	-4.111546306589649E-7	-5.124173447660708E-7	-7.137977374333535E-7	-8.894210595427802E-7	-8.682562114290183E-7
891.8774423439629	33.913307663053274	34.93318226623038	33.91086310818791	33.43042318842241	32.8808875605464	32.700773649595	32.61174212396145	1.9029960891635408E-7	2.593184495487254E-7	-3.9347908833362857E-7	-5.822933637129088E-7	-7.531835483857573E-7	-7.870477275690667E-7	-9.351252960529557E-7
892.8112992090106	34.05368055123836	34.9461937956512	33.889734250307086	33.34310301712581	33.019512317246864	32.73260702599179	32.47022537199351	2.4937866269995456E-7	2.601536468394472E-7	-3.773639636810795E-7	-5.130044685188573E-7	-6.713820822873797E-7	-9.22811515147306E-7	-8.442014485169328E-7
893.7456936423883	33.96941462624818	34.92616690943638	33.909219072014096	33.34998512693814	32.827412662406765	32.81406115334142	32.50817739619659	2.684965779574562E-7	2.2757654092437317E-7	-3.5569934017101127E-7	-5.416093701834029E-7	-6.944610545618694E-7	-8.749923982985942E-7	-7.932083406686822E-7
894.6795012581439	33.95129093248397	34.931005761027336	33.91100643053651	33.39075253158808	32.985233618153465	32.79740599678321	32.65446361154318	1.9091067765715508E-7	2.379759425050242E-7	-3.9197925060305413E-7	-5.12385996140837E-7	-5.654571034401741E-7	-8.150801197699339E-7	-7.806865841979182E-7
895.6133470429281	34.02244564332068	35.027922389407955	34.02841248512268	33.43616364044802	32.91113456007507	32.85055526142771	32.381943605840206	2.8351966758474517E-7	2.6110154006838944E-7	-3.019480063466782E-7	-5.312687124215076E-7	-7.2739469648972E-7	-7.73690659471157E-7	-7.926595776895461E-7
896.5471923611269	34.014046472497284	34.98405578856667	33.99401587769389	33.408350973256994	33.22766403191619	32.831574410877444	32.545404088038666	2.734949374674908E-7	2.6887703238187696E-7	-3.8071691581571397E-7	-5.381368129911532E-7	-6.077821941540278E-7	-8.296318038122046E-7	-7.782986826897719E-7
897.4810986443861	34.00486905127764	35.00229768579205	34.098290380835536	33.41550307082279	33.10601180295149	32.776632218198344	33.066191254900055	2.4727755008088596E-7	2.4683876078386113E-7	-4.0234607904071043E-7	-5.731938126378097E-7	-7.034202280460557E-7	-8.724282377831533E-7	-6.868713992953454E-7
