Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
769.7764094648844	36.95571974199265	35.770765471582614	34.321565347909925	34.41381579105343	32.31874956687292	33.6901910061186	32.94927457204232	-2.0273223183895207E-6	-7.198940431570164E-7	-1.0397721943893924E-6	-7.133148844778585E-7	-7.245383984206427E-7	-1.021082415448573E-6	-5.422541550298491E-7
770.7101924808495	37.003390062600374	35.78393939013282	34.164903681725264	34.30527519860438	32.592961463663315	33.72455159439282	33.11694803891274	-2.0862686152589354E-6	-7.671582043900058E-7	-1.0549206630548064E-6	-7.490026871505805E-7	-7.409993524192952E-7	-9.363368763510665E-7	-5.277072163111109E-7
771.6439559126362	36.97936868015677	35.7736980287979	34.269234185665844	34.272041973258766	32.554399467176864	33.893740536814384	33.050043958310894	-2.098211925557038E-6	-6.974849501628145E-7	-9.907715273382487E-7	-7.271820632040395E-7	-7.123815713798285E-7	-9.101542379219845E-7	-5.332290228010525E-7
772.5777301714869	37.01256597973406	35.84074200876057	34.31856534257531	34.29948041588068	32.62757393055492	33.86609429933808	32.956011421978474	-2.0816856516760293E-6	-7.037753731717116E-7	-1.0277497677975867E-6	-6.931637126285654E-7	-7.531732179538535E-7	-1.0215711566260663E-6	-3.9320683192572634E-7
773.5114739213454	37.026358029805124	35.84637787503501	34.29484914541244	34.311736496431486	32.303075947695305	33.80042678524148	32.84251542618642	-2.0391278099270963E-6	-7.332240563273054E-7	-1.0230344447391686E-6	-7.405208650140664E-7	-8.339103074676808E-7	-8.962055373626149E-7	-4.1562379481166467E-7
774.4452533889297	36.943728141486645	35.83296331514915	34.323274593800306	34.221717345927445	32.75100555602047	33.77677705816247	33.11444129737524	-2.055441714378717E-6	-7.307141648864909E-7	-9.945697280348072E-7	-7.403878920478373E-7	-7.53631612672643E-7	-9.321220745180125E-7	-6.256451836210078E-7
775.37904645424	36.987791136838496	35.80437129177153	34.29824347198009	34.42577193251678	32.67638911720779	33.564937540075995	32.89713862710274	-2.0388735606545277E-6	-7.142591600938235E-7	-1.0530212907905196E-6	-7.388384295896908E-7	-7.629255058884431E-7	-8.905418438427567E-7	-5.435855193182361E-7
776.312857170273	36.97421998903155	35.84386112789313	34.33383688926697	34.34384522161314	32.66331425640318	33.761982119896196	32.86727496064626	-2.0359345554535357E-6	-7.352567162374594E-7	-1.0436963138775392E-6	-7.654103375347404E-7	-7.561256031993679E-7	-8.801724241612983E-7	-4.769468014395367E-7
777.246662053395	36.978458472527564	35.79283205668131	34.257237885892394	34.31991250067949	32.433780965705715	33.694739570671864	32.96469577745749	-2.067286674650563E-6	-6.752098014370497E-7	-1.0191643098810205E-6	-7.060873957564606E-7	-7.583574624715512E-7	-8.900746830576981E-7	-5.03349871612183E-7
778.1804385467068	36.92354795988649	35.78729060664773	34.33592614158988	34.29644765279123	32.623221910662124	33.713396759873085	32.86661199193735	-2.0564176779875286E-6	-7.397169404847975E-7	-9.77389905461502E-7	-6.424036394894793E-7	-7.129286038545394E-7	-9.347422145521492E-7	-4.637658482775891E-7
779.1142130817649	36.93184847570956	35.83090998542806	34.356143097579476	34.30797378399542	32.618193209171295	33.66323905980045	33.22286558896303	-2.032074671904087E-6	-6.975370746125633E-7	-1.0101725159648845E-6	-6.907297613464668E-7	-7.798814907578966E-7	-8.492613456662095E-7	-5.550227258694555E-7
780.0479992983811	36.88069128151983	35.737597020342946	34.283235139399764	34.15138969463961	32.412079479959274	33.66228134185076	32.84558311677896	-2.0528637344570584E-6	-7.170977418325449E-7	-9.694339342233762E-7	-7.270137501554417E-7	-7.213505251916043E-7	-8.144223346139863E-7	-7.086050388031915E-7
780.981760792182	36.957062078639865	35.75974066617588	34.24075034409761	34.28450761629002	32.49110869318247	33.75785703821616	32.78030125567546	-2.080296739345451E-6	-7.124859345036978E-7	-9.664888313976733E-7	-7.0566246467486E-7	-7.987426103783568E-7	-8.200409701154658E-7	-6.194951236979161E-7
781.9155123107871	36.93138611037284	35.70453757916888	34.227153012901546	34.322431582425324	32.80333140326871	33.79198380830613	32.961788041087296	-2.056132757645543E-6	-7.201153601322336E-7	-1.0520772730271183E-6	-7.281630540140541E-7	-7.443178236909135E-7	-8.842530134910452E-7	-5.44543755694429E-7
782.84926337759	37.048432974144816	35.69262242255112	34.202681854367256	34.38268349958317	32.446317245562874	33.59586512500589	33.09237960726023	-2.0024935519807234E-6	-7.086280799182957E-7	-1.010611542885334E-6	-7.022309701543465E-7	-7.00288016517242E-7	-9.959655235380335E-7	-5.040700118436471E-7
783.7830481843187	36.957828026264906	35.714627147341766	34.31261331364512	34.0975634008646	32.51938096847799	33.70097077976573	32.9422360480978	-2.034316719585821E-6	-7.341135806846356E-7	-1.0446096433100493E-6	-6.508619191218521E-7	-7.388968224445732E-7	-9.530986218363131E-7	-5.254132509591815E-7
784.7167747081942	36.918389949947596	35.70226490187148	34.2025508068502	34.282696360988275	32.531256579690506	33.69074252383275	32.85114292571178	-2.0124728615174866E-6	-7.170205198172501E-7	-1.0590539577798991E-6	-6.765313709691491E-7	-7.677510053500183E-7	-8.523929541065755E-7	-6.433486902385487E-7
785.6505747832485	36.84025386441499	35.718879559387766	34.19287128150463	34.34566264812435	32.516448306540646	33.657044774429366	32.665883797865646	-2.0722343492547268E-6	-6.821575250599496E-7	-1.0091409053085833E-6	-6.603663134400952E-7	-6.970025752660064E-7	-7.981086395030755E-7	-8.046417060355866E-7
786.5843714160159	36.98552148975432	35.69113235920668	34.22597408816218	34.42893645273788	32.57177963356177	33.65661861070178	32.97932950178018	-2.0233594763822862E-6	-7.149525610732532E-7	-9.97779904093974E-7	-6.735179493023156E-7	-7.701608346030628E-7	-7.958939030053362E-7	-6.637241870861838E-7
787.5181414480634	36.8762694997713	35.6739066572239	34.22288967519999	34.172557848904816	32.559019004305206	33.67375179922039	32.80079901333038	-1.9795665537907957E-6	-7.588724305194648E-7	-1.0191682707302472E-6	-7.111547770726829E-7	-6.889591870803936E-7	-8.805294908703572E-7	-4.88256395400082E-7
788.4519646069239	37.033609580248594	35.734563137715064	34.20895283445716	34.20350894012621	32.39996623578999	33.600679361684755	33.04018744253195	-2.031463516490213E-6	-6.99805550588502E-7	-1.0304119188625537E-6	-7.140392656534257E-7	-8.215352787922629E-7	-9.520444785832924E-7	-3.7929159534952816E-7
789.3857222143839	36.93017352279276	35.67191363250216	34.148442874103786	34.212921673698084	32.49227594418658	33.77255521105094	32.73132914247421	-2.0165290410340464E-6	-7.346524860336108E-7	-9.93282420790986E-7	-6.869476627235758E-7	-7.852406213992028E-7	-9.12586967311948E-7	-6.356614472411733E-7
790.3195200887145	36.91313867550343	35.70066316984594	34.254206131398675	34.15176161378622	32.649019583231876	33.74333423917944	33.0869267600087	-2.010486494591617E-6	-6.944848400574017E-7	-1.0005573208926122E-6	-7.432353563254282E-7	-6.330476772099369E-7	-1.068032759798479E-6	-3.573007189006783E-7
791.2533093221614	36.88385456241667	35.6977833583951	34.30223119482398	34.31704542040825	32.784995751248466	33.354782158678226	33.00984718822516	-1.996978477633864E-6	-6.698228881377199E-7	-1.032594366512699E-6	-6.673938153546339E-7	-6.685286698048204E-7	-8.967178040156752E-7	-4.4370423461385705E-7
792.187192838115	36.80909951310605	35.740951996917524	34.210978529602286	34.33560334891081	32.717858612537384	33.86512620205229	32.94557148275467	-1.978757271003202E-6	-7.080266526005713E-7	-1.0470669878070169E-6	-6.972364761582864E-7	-6.950700451214696E-7	-8.461703188163811E-7	-5.555673785401845E-7
793.1210260813659	36.821194765158	35.65510059396426	34.24138903543353	34.13131417440517	32.680984780192375	33.95338366519321	33.332730741455	-1.9794017453201597E-6	-7.285506015811171E-7	-1.0075460767334187E-6	-6.849827149863673E-7	-8.496784631213417E-7	-7.565032154332351E-7	-4.631324702549384E-7
794.0547995808536	36.82710337359458	35.712895788252354	34.29360567778349	34.25262727907726	32.617482754919266	33.42743898115375	33.23823712364985	-1.958876446995963E-6	-6.960007185734295E-7	-1.012731951362825E-6	-7.632860469824392E-7	-6.960030204181388E-7	-9.749186234259247E-7	-5.770711049151193E-7
794.9885541389406	36.68543051928282	35.772410136957966	34.281899916380645	34.251797495143755	32.511880326602196	33.48935525728898	32.751130086298176	-2.016624777960896E-6	-6.969594598414187E-7	-1.0285063352764997E-6	-6.995075603238225E-7	-7.24249214030897E-7	-9.488272861386604E-7	-7.269647279743247E-7
795.92234085707	37.001720583066344	35.65943941473961	34.29170218333602	34.22396544473512	32.640102396408714	33.69511107084426	32.97756162801614	-2.0182473970309822E-6	-7.13702281660754E-7	-1.0606584241479875E-6	-6.967302418164461E-7	-7.597302899010726E-7	-9.410599666648023E-7	-5.584096378505402E-7
796.8561053579263	36.90604388713837	35.69141763076186	34.20832586362958	34.21951786002943	32.6417574170563	33.749863428825684	33.00749609734003	-1.9893628762307296E-6	-7.07355490380939E-7	-9.79316602871651E-7	-7.14665989775935E-7	-8.048287096598693E-7	-8.031331025705766E-7	-3.885017873926129E-7
797.7898605992013	36.87762736342847	35.699847815558314	34.20413989424706	34.23085543193987	32.51581388877498	33.744630114598706	33.04485384489481	-1.9421815630716547E-6	-7.040416536176469E-7	-1.047688649706682E-6	-7.438959020188612E-7	-7.262537962509892E-7	-8.374633003466604E-7	-5.23958845720604E-7
798.7236428674876	36.85661130771041	35.75591909699142	34.29567779749632	34.288012373660294	32.70882875389523	33.63633281602101	33.11823822443302	-1.9783921686960908E-6	-7.169186333496442E-7	-9.867247755763271E-7	-7.503164299894882E-7	-6.826801434394169E-7	-8.50469900936867E-7	-6.058587435817223E-7
799.6574256422936	36.88344493601471	35.619969829296075	34.27353202849626	34.363037114696844	32.71198776529895	33.68638838082552	32.88548652942364	-1.990326334027346E-6	-6.97185819633115E-7	-9.741260064639109E-7	-6.960918583422571E-7	-6.743307344496885E-7	-8.948446554128144E-7	-5.752219014667522E-7
800.5911928409749	36.95733787957579	35.739998725553356	34.22278126478195	34.21723761515958	32.40080560495456	33.68877047909932	33.26557997843394	-1.9652577059804557E-6	-7.104709529303114E-7	-1.010633001682855E-6	-6.819380339182976E-7	-6.916261272900545E-7	-9.94109561316099E-7	-3.7977204958324475E-7
801.5250328921497	36.8580514844507	35.75781819410622	34.35528444424271	34.35416009596416	32.723805402716	33.50937824764035	33.23341496976522	-1.9899765212706764E-6	-6.976004318178148E-7	-9.799366830165967E-7	-7.167247972294209E-7	-7.094203788885557E-7	-8.234729986976929E-7	-5.689179292249117E-7
802.458803374809	37.001515379175544	35.72622405116757	34.19605776593089	34.269158702875885	32.705432552430366	33.70024241168391	33.169541544639145	-1.9566349008363925E-6	-6.894087666989626E-7	-1.012589703151351E-6	-7.333585846669183E-7	-7.5439597020072E-7	-8.907256363815621E-7	-6.013695164139711E-7
803.3925663336946	36.98144290409982	35.78576616073648	34.23525453805924	34.24112962612084	32.65031238645315	33.64038008722392	33.159786679423775	-1.9694192833279406E-6	-7.033365633816666E-7	-1.0369994575986545E-6	-7.534288205815942E-7	-7.56518793362454E-7	-8.673321987044344E-7	-5.149771964058677E-7
804.3263496262265	36.97398923896253	35.76717812381685	34.250131741166115	34.433612551007954	32.583190489974285	33.539105940271504	32.897564156124226	-1.9237741843056676E-6	-6.815494350909188E-7	-1.020050703982151E-6	-5.869372153964066E-7	-8.782337864748804E-7	-8.028216893713938E-7	-5.047753168293542E-7
805.260100474758	36.952539287507534	35.752806690211095	34.454426386207345	34.23716743503298	32.74801227367587	33.945789190178566	33.05863962035913	-1.926061323124443E-6	-6.967456372262873E-7	-9.594768695494929E-7	-7.158808519474355E-7	-7.065107650047975E-7	-9.097227340900375E-7	-7.20068836231684E-7
806.1939082230755	36.9943212736398	35.69513334147632	34.36575558036566	34.458057418465614	32.81530532406436	33.713274180211805	33.24925069167064	-1.971518570626136E-6	-7.162566875814258E-7	-9.943675329461457E-7	-6.433656351163684E-7	-7.851362405448604E-7	-8.317311972334368E-7	-4.850625580659251E-7
807.1277175238563	36.971807095222175	35.7353196721524	34.2496612213552	34.26177270604031	32.692709232370056	33.671783584085375	33.06176380354624	-1.941897427269366E-6	-7.168447291723784E-7	-9.727480316585777E-7	-7.83337405133654E-7	-7.21086989650965E-7	-8.838072853330084E-7	-5.89663907784926E-7
808.0614854580601	36.981760673224926	35.712693670764565	34.248992063105106	34.23293256866081	32.758409400781	33.65883865546096	32.79419902081673	-1.976047389237658E-6	-7.160632655656357E-7	-1.0168439644361838E-6	-6.805972952304742E-7	-7.7361349695189E-7	-9.110901033763984E-7	-5.999777771827867E-7
