Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
103.7194414081592	823.2958202147856	-3.2739233276811306E-4	500.41249278746545	-1.6653015796794568E-4	407.0719123542309	-1.3225177355908517E-4	358.6439417515482	-1.0964593275733518E-4	329.0811487047209	-9.799679802721038E-5	313.9528903473507	-8.789787275671807E-5	300.82475551676293	-8.635119739419383E-5
104.65324465799512	823.3382447408512	-3.273514374603594E-4	500.3794254201154	-1.6652902074760134E-4	407.03721596747636	-1.3225163362097703E-4	358.6058123207518	-1.0964657745405286E-4	329.0166409239173	-9.799531928513904E-5	313.91282688081264	-8.789785967783332E-5	300.77882201167256	-8.635119905740118E-5
105.58702354192928	822.9590471554548	-3.2742467125303226E-4	500.33358965006965	-1.6652818189519128E-4	406.9900125727057	-1.322508277391073E-4	358.56857521406243	-1.0964722051868178E-4	328.97795562528904	-9.799335209686753E-5	313.88018211180514	-8.78973532870094E-5	300.74472689456667	-8.635152204777027E-5
106.5208820849678	822.8168079517782	-3.27420913165001E-4	500.2852673040082	-1.6652892625953634E-4	406.92976109907033	-1.3225056568787956E-4	358.50475687214305	-1.0964789659425342E-4	328.90706120265855	-9.799108537352024E-5	313.83569136736065	-8.789579518295599E-5	300.6943134642564	-8.635060421539984E-5
107.45471870303362	822.9048792989925	-3.273445603951367E-4	500.23747552310425	-1.6652294485935984E-4	406.8998540982604	-1.3225030008710454E-4	358.49479680401936	-1.0964828208485644E-4	328.88563175085517	-9.799186749268785E-5	313.7726776572791	-8.789908053937876E-5	300.6389259220316	-8.635044707921544E-5
108.38856174564584	822.7975134663284	-3.273308644682939E-4	500.1945030596107	-1.665221497843867E-4	406.8533892638981	-1.3224972952199552E-4	358.44969672603264	-1.0964853784422981E-4	328.83604182799655	-9.799139679429695E-5	313.7209311087023	-8.789674993436245E-5	300.58489543314164	-8.635023088834697E-5
109.32243333065735	822.7769404156134	-3.2743494388233306E-4	500.13579844435054	-1.6651986022167212E-4	406.7938210710883	-1.3224858185630864E-4	358.38948991362537	-1.0964897330186263E-4	328.7933054649168	-9.798948557563768E-5	313.675996679474	-8.789433290176453E-5	300.5496295604568	-8.634840803246142E-5
110.25630734026652	822.508030266501	-3.274239336701714E-4	500.1114025854816	-1.6651826567304855E-4	406.7703630417585	-1.3224764541564052E-4	358.37003366116966	-1.0965088584559461E-4	328.76512466453846	-9.798807840690054E-5	313.6509104012088	-8.789524078080786E-5	300.51650713556086	-8.63498335742106E-5
111.19012896359182	822.3679812541232	-3.274734562900865E-4	500.0812608115375	-1.665176738583095E-4	406.7388019695878	-1.3224811685985882E-4	358.34690206923653	-1.0965130484478425E-4	328.7296729816331	-9.7988146434362E-5	313.61170062490487	-8.789591965317379E-5	300.47799781881844	-8.634768429692845E-5
112.12398294854391	822.3294156296179	-3.2753825902435003E-4	500.04401348965865	-1.6651655692167237E-4	406.69670717418194	-1.3224732608380213E-4	358.30738826521804	-1.0965031722944937E-4	328.6891983060373	-9.798668273325679E-5	313.5678963871165	-8.789538475465149E-5	300.4298783758512	-8.634938420430204E-5
113.0579031242155	822.3740500519052	-3.275168200495658E-4	500.00105009352166	-1.6651463607345393E-4	406.6502837240696	-1.3224622261343467E-4	358.2651574260422	-1.0965120640481597E-4	328.6396516321434	-9.798633430164807E-5	313.53087587790054	-8.790356592679527E-5	300.3859779089689	-8.634930476466027E-5
113.99177461660136	822.3348904410377	-3.275566768593351E-4	499.94494118789834	-1.6651269779936E-4	406.58632051572204	-1.3224703560686663E-4	358.18861399378096	-1.0965448519976308E-4	328.51658066776065	-9.798426979112339E-5	313.4146224890243	-8.790336824021266E-5	300.2607802582475	-8.63485371522606E-5
114.925610992434	822.2250342620537	-3.275718475603895E-4	499.82651016985375	-1.6651043073477836E-4	406.4585294082761	-1.3224403088189768E-4	358.10824550368955	-1.0965463210751145E-4	328.4711471340722	-9.798417181979582E-5	313.3489162095568	-8.790189195360112E-5	300.2041491854649	-8.634809114505305E-5
115.85951664150004	822.2054025344551	-3.27566301349516E-4	499.7755149931957	-1.6650827987540974E-4	406.42082453519106	-1.3224512988063814E-4	358.05041355426823	-1.0965333350026808E-4	328.4161820345455	-9.798149072921523E-5	313.3061322488568	-8.790091195570845E-5	300.1587249338627	-8.634671573638924E-5
116.79336838197942	822.221959403716	-3.275798948281192E-4	499.7232293256869	-1.6650876348127836E-4	406.37596260383725	-1.322441540091378E-4	358.010308817029	-1.0965396391982016E-4	328.36581872238054	-9.79805429541485E-5	313.2525673671202	-8.790141068876773E-5	300.1028182724348	-8.634678525312468E-5
117.72728413784755	822.2447863854468	-3.275501294971875E-4	499.6764401675512	-1.6650601544279274E-4	406.3243669323623	-1.3224365483866047E-4	357.94581316411495	-1.0965818596140394E-4	328.3155684189664	-9.797924967094805E-5	313.2028170167045	-8.790092838265546E-5	300.05183186382055	-8.634654773327877E-5
118.6611284384754	821.9766390919685	-3.27600386405025E-4	499.62417230134207	-1.6650382065390123E-4	406.2770493209362	-1.3224226888241958E-4	357.9006239420601	-1.0966077715904592E-4	328.266476565765	-9.797859270577834E-5	313.15063050524753	-8.790095184270379E-5	299.99927329845156	-8.63450212516392E-5
119.59513655305184	822.0956950429827	-3.2758359289664166E-4	499.55565731041133	-1.665021665749194E-4	406.20475802868606	-1.322426133803865E-4	357.8467005076153	-1.0965957438472224E-4	328.2115926535593	-9.797728747693252E-5	313.0961082015525	-8.789888183215187E-5	299.9463367158404	-8.634497738954001E-5
120.52902817142291	822.0999347865582	-3.2760129322457647E-4	499.5148806187014	-1.6650061545512074E-4	406.16187871918083	-1.3224219774507595E-4	357.7989196191941	-1.0966102198492115E-4	328.2115926535593	-9.797728747693252E-5	313.0541032789783	-8.789904620564401E-5	299.89839421785797	-8.634552941433571E-5
121.46289042127424	822.0052487896755	-3.2759649340477026E-4	499.4634399103622	-1.6650032574171874E-4	406.11419982761146	-1.3224168667068763E-4	357.7989196191941	-1.0966102198492115E-4	328.2115926535593	-9.797728747693252E-5	313.0541032789783	-8.789904620564401E-5	299.89839421785797	-8.634552941433571E-5
122.39688161278055	799.3636018391699	-3.2748323372420524E-4	499.4634399103622	-1.6650032574171874E-4	406.11419982761146	-1.3224168667068763E-4	357.7989196191941	-1.0966102198492115E-4	328.2115926535593	-9.797728747693252E-5	313.0541032789783	-8.789904620564401E-5	299.89839421785797	-8.634552941433571E-5
123.33104370498933	812.2234821384773	-3.2740121384431195E-4	499.4634399103622	-1.6650032574171874E-4	406.11419982761146	-1.3224168667068763E-4	351.5296771760498	-1.0959358976131928E-4	328.2115926535593	-9.797728747693252E-5	313.0541032789783	-8.789904620564401E-5	295.93370352169643	-8.635724553611816E-5
124.26520232188994	818.328861836344	-3.2763483022801995E-4	496.2477350545426	-1.6645331293834174E-4	406.11419982761146	-1.3224168667068763E-4	355.0049733668566	-1.0965709652062874E-4	325.51601894365416	-9.7984193184037E-5	310.5506890836087	-8.790814806961671E-5	297.5406552799619	-8.63482873479809E-5
125.19932341242142	819.5997895784676	-3.276752731044633E-4	497.30265897450346	-1.6648955974380052E-4	403.94507264718413	-1.3223936064870418E-4	355.6303931836571	-1.0967042214908481E-4	325.99503468142615	-9.797557896642683E-5	310.9077662121166	-8.790786881063468E-5	297.79673302460174	-8.634799274735628E-5
126.13324454582057	819.8676082147285	-3.275898778637957E-4	497.4743223662178	-1.664928191892527E-4	404.0611523792148	-1.3224084917627047E-4	355.7237300074526	-1.096721169544998E-4	326.0668214360873	-9.797506658636404E-5	310.9596139449965	-8.791028244646413E-5	297.83483468626554	-8.634807325146703E-5
127.06710850561004	820.0539750102907	-3.275664607921557E-4	497.4704041723162	-1.664926174362354E-4	404.04986269399524	-1.3224111859002401E-4	355.7089793288282	-1.0967299258026332E-4	326.0431501923336	-9.797490391421145E-5	310.9301938245242	-8.791083093363E-5	297.79953132970974	-8.634943787746505E-5
