Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
288.6345493617042	31.14679036475718	50.41812574801346	48.20537335276604	46.34466888116939	45.99548251264625	44.5816867751154	44.50356567135224	-4.216095592533077E-5	-6.837137113471553E-6	-5.418002374597678E-6	-4.013599719457597E-6	-3.6079676736394954E-6	-3.1495075853799434E-6	-3.0460597730387975E-6
289.5683446435911	31.063075331039727	50.3089401597778	48.198656702786685	46.3714792153665	45.81908336778482	44.42539954456416	44.745860437361095	-4.2191672013023424E-5	-6.8931654730111376E-6	-5.430452163342257E-6	-3.995796084272618E-6	-3.70877353167384E-6	-3.2122078160903546E-6	-3.238066517438989E-6
290.5021994256952	30.948589152656496	50.33153921055297	48.18268698677421	46.322593020541326	45.77812961985668	44.38098148188808	44.64540217587581	-4.224020433649334E-5	-6.892124159514146E-6	-5.454965639842805E-6	-4.0528502788143655E-6	-3.7912780196014726E-6	-3.2018307061840016E-6	-3.0014650535763713E-6
291.43599091076624	30.785669395700097	50.1621397032092	48.02376848980784	46.209506306265084	45.7363377544615	44.42656394839287	44.38997050260122	-4.231404926260555E-5	-6.926637446135435E-6	-5.447666356581571E-6	-4.053043722794357E-6	-3.782401460791191E-6	-3.265442511816608E-6	-3.2507287878204408E-6
292.369830269216	30.56142598297447	50.164281303683914	47.899011119455096	46.02851365719523	45.54156607472234	44.244842960753225	43.97467836279135	-4.2314881685295196E-5	-6.967070867754972E-6	-5.47670105712579E-6	-4.138941488254823E-6	-3.8046268384244212E-6	-3.2976049143306683E-6	-3.225348964270143E-6
293.3036511201841	30.2720514414832	49.92753970685104	47.72127937301993	45.806589744985104	45.24353167745802	44.00603997436437	44.05581259498229	-4.240970994091821E-5	-6.978274211694407E-6	-5.51258561038516E-6	-4.127410818768946E-6	-3.7942268057114032E-6	-3.1825799119322744E-6	-3.2005896827312706E-6
294.23744130134344	30.157179607078433	49.70376338375112	47.46677448675037	45.542910924979616	45.14604088332918	43.450515818189494	43.64856845598955	-4.2381958503185974E-5	-6.951773987095249E-6	-5.539823508960882E-6	-4.1079480032353945E-6	-3.8205812274998054E-6	-3.270290403601029E-6	-3.2690815130678193E-6
295.17127245163687	29.886788472533226	49.489891769985356	47.196460001915696	45.33331044550453	44.91390589790212	43.39915482835336	43.600949249588524	-4.2408899010438214E-5	-6.98607196475E-6	-5.531386539784716E-6	-4.1298792591878925E-6	-3.884579728559583E-6	-3.2756108894756E-6	-3.1948744382293015E-6
296.10506701051884	29.429810047149658	49.13015327913066	46.98312130570412	45.05926278127091	44.57816346900331	42.99691041694446	43.25708274772534	-4.2419017347717855E-5	-6.967298324232779E-6	-5.533009506238925E-6	-4.124671553103643E-6	-3.846148920033169E-6	-3.346654343035774E-6	-3.2522827946989015E-6
297.03890062534555	29.146933283656836	48.796452812850475	46.68160340487957	44.71857775641339	44.19458348386817	42.778348886153914	42.69831033452199	-4.245381293056696E-5	-6.992592754145535E-6	-5.529987149126731E-6	-4.134591277750528E-6	-3.868623713455162E-6	-3.2815402452160197E-6	-3.177860621380869E-6
297.97275185703967	28.67471113614738	48.41845137253404	46.34626763686538	44.28693416608231	43.84943045096265	42.29020779444413	42.12649900752764	-4.241846790217497E-5	-6.993238766793913E-6	-5.519770800210415E-6	-4.182588597836955E-6	-3.781231842569892E-6	-3.352644236469406E-6	-3.024896257026945E-6
298.90659464108717	28.435172628611326	48.05034261817733	45.808807018399236	43.916462959987776	43.387236235870255	41.86071763390844	42.07823990571957	-4.239949705343025E-5	-6.956607336741031E-6	-5.589929216160306E-6	-4.110067542066015E-6	-3.859966147186117E-6	-3.3144458038006158E-6	-3.220448870448609E-6
299.84038366758523	27.964899663813412	47.65271572334071	45.434516582638025	43.4351606049708	42.88169095002942	41.54095403172753	41.758426786615296	-4.237297002468904E-5	-6.9550467240340965E-6	-5.488081174770138E-6	-4.156193937994589E-6	-3.872676281762422E-6	-3.2825639756196503E-6	-3.1343753313201424E-6
300.77427154266525	27.61210056953132	47.27309659682214	45.118528404831885	43.15401187539101	42.67573185347848	41.087338322942905	40.91812056303024	-4.2404365177456155E-5	-6.955449750295386E-6	-5.528667425430521E-6	-4.133532975552929E-6	-3.8408045301796225E-6	-3.2691503471882433E-6	-3.248856536159931E-6
301.70808373558197	27.082286594435573	46.911428916578494	44.70998978838325	42.68541224833046	42.09803698625829	40.73085734112696	40.608967857292065	-4.2331184470775134E-5	-6.943034106941044E-6	-5.464876336230742E-6	-4.1301854562492645E-6	-3.847597374258166E-6	-3.335178125948095E-6	-3.1328189655889174E-6
302.64191843759716	26.69635693449527	46.491294314463936	44.23316894099116	42.255940180804046	41.69971303227875	40.23787039721554	40.64796663304934	-4.2280604165562585E-5	-6.919650192639372E-6	-5.464054447255922E-6	-4.101812201066297E-6	-3.8104905003118954E-6	-3.339297674977295E-6	-3.1192618778266157E-6
303.5757173032723	26.377694121561944	46.08144083494941	43.840008792281154	41.86536353507212	41.41925457368294	39.75907808203589	39.91005405726341	-4.234987545513049E-5	-6.883980718931854E-6	-5.516920245521664E-6	-4.080784412409798E-6	-3.818081482187449E-6	-3.301096164915604E-6	-3.23505267370381E-6
304.5096108441309	25.909359818324447	45.66520975033442	43.5222477093339	41.5344891133053	40.78004269384675	39.693735567683525	39.43244027460997	-4.230604681115444E-5	-6.851729495325061E-6	-5.493109744251389E-6	-4.1384135533458855E-6	-3.799845638913449E-6	-3.216772241646651E-6	-3.173745223713351E-6
305.44346190249536	25.528114223852754	45.29673984584709	43.16968174651265	41.106590239065035	40.36395403825574	39.01296713270924	39.061114414953266	-4.226511569320029E-5	-6.882991066049153E-6	-5.559996362472107E-6	-4.155518571320057E-6	-3.8138106499750973E-6	-3.2173091293923923E-6	-3.218673366958108E-6
306.37727124476106	25.163456758484244	44.8936903004845	42.75690681189299	40.764606232089655	40.08711569093995	38.504935861311175	38.69985526570907	-4.219930165738162E-5	-6.853429197211622E-6	-5.5622456917707734E-6	-4.104915273037035E-6	-3.744679823706738E-6	-3.3138276287731727E-6	-3.181727673628326E-6
307.3111005005805	24.75163300242275	44.442258635535836	42.42589722275734	40.33637223392725	39.53237601866325	38.027060861614615	38.61318489794548	-4.2211213644481724E-5	-6.83811095032982E-6	-5.544340428501781E-6	-4.050830321239828E-6	-3.8119871980124315E-6	-3.2393028270340522E-6	-3.1153149344748473E-6
308.24495008277574	24.42146605066955	44.2152842550228	41.97152609229088	39.91823548717158	39.1898334208462	37.88974481482398	38.26299802041971	-4.214606227407431E-5	-6.820220373064082E-6	-5.518319568784179E-6	-4.1306427458181875E-6	-3.799033797027997E-6	-3.280224899169921E-6	-2.9941473259547047E-6
