Time_(s)	Delta_F/n_n=1_(Hz)	Delta_D_n=1_()	Delta_F/n_n=3_(Hz)	Delta_D_n=3_()	Delta_F/n_n=5_(Hz)	Delta_D_n=5_()	Delta_F/n_n=7_(Hz)	Delta_D_n=7_()	Delta_F/n_n=9_(Hz)	Delta_D_n=9_()	Delta_F/n_n=11_(Hz)	Delta_D_n=11_()	Delta_F/n_n=13_(Hz)	Delta_D_n=13_()
301.737860026832	4789.130280666985	7.423540687747938E-6	647.0348353174826	-3.4857468323357046E-6	256.49036998152735	-6.306671533432706E-6	147.74180410695928	-5.596793598388195E-6	103.60632477949063	-4.3969872990282614E-6	83.29201360182329	-4.523432419729808E-6	60.28104209212157	-3.480840366978656E-6
302.67199819457073	4778.088750925846	6.729263701023172E-6	639.2094500530511	-3.074725743208034E-6	247.9536250114441	-6.132619424400798E-6	142.45614358782768	-5.454934317868508E-6	97.17359988474183	-4.850972648319548E-6	76.57641512832858	-4.165588152719844E-6	65.81454665672321	-4.096759937619217E-6
303.60614086997026	4781.476125098765	7.177154081056971E-6	641.3063567218682	-3.699329130405567E-6	250.85690119862556	-6.621538754969676E-6	144.2488926500082	-4.9779467736221105E-6	99.29456987314754	-4.902522588804412E-6	78.6061512130228	-3.708404120899016E-6	67.6798418553976	-4.736307801203081E-6
304.54022156929517	4786.902047185227	6.978710314866916E-6	648.3098795358092	-3.963091706863568E-6	255.19758307039737	-6.415265848093606E-6	147.4565192759037	-5.946776175760546E-6	103.97996047884226	-4.4976409934442305E-6	83.00455824624409	-4.218728638919145E-6	69.32030532337151	-3.8096192654770767E-6
305.47429677676763	4785.211610193364	6.615267594864849E-6	645.6812476068735	-3.815246465854917E-6	256.21481082811954	-6.5703306703566696E-6	147.5598663144878	-5.679956857377862E-6	103.32776373624802	-4.671862647291148E-6	84.87836955487728	-4.8212489587304215E-6	69.03441264308415	-4.054176923713336E-6
306.40838215970626	4786.743833969347	6.1294679263450866E-6	647.635719852522	-3.9716160600925E-6	257.3201977528632	-6.478592745883167E-6	148.8646374738642	-5.562544517607489E-6	105.4343660540051	-5.08591341834939E-6	85.62835968014869	-4.224605700750439E-6	70.31587022886826	-3.364505452961309E-6
307.3424818521697	4786.805304965936	6.121658773294587E-6	648.103557979688	-4.103513590465415E-6	258.73467385843395	-6.8484230527526325E-6	149.34193782189064	-5.948307665778818E-6	105.33405672758818	-5.200170361818664E-6	85.00788280706514	-4.09313221621461E-6	70.44027273184977	-3.921793794455614E-6
308.2766935013496	4787.992373288609	6.001018932587159E-6	649.0112403103461	-4.17976824880969E-6	259.4909335836768	-6.5783765074495975E-6	149.53590380826168	-6.0985756241614225E-6	107.12666919827461	-5.256586629209082E-6	84.97017048502511	-4.420660261776854E-6	71.87967383632294	-3.824683071286921E-6
309.21132671785	4787.988789821975	5.929890319060125E-6	649.1885056930283	-4.314759185387163E-6	259.67827645763754	-6.735577939523396E-6	150.1071317302329	-6.211294733226484E-6	107.86738120598926	-4.850925839536448E-6	86.101640147919	-4.448517201982192E-6	73.08834885461972	-4.657442646780334E-6
310.1454209853371	4788.379916205071	5.71365037400635E-6	649.6972289563467	-4.411977552986891E-6	259.62842386066916	-6.919486592719357E-6	150.74578999408655	-5.777673578892433E-6	106.18498701685004	-4.933564763962405E-6	86.77625509690155	-4.383510791406122E-6	71.91939541181692	-3.4667394847717807E-6
311.0796025341709	4788.307226602919	5.885753268741289E-6	649.358141672487	-4.462590877876764E-6	259.8722838148475	-6.593471886976322E-6	150.69363564678602	-6.017644500433796E-6	107.2481867025296	-5.0598581200483065E-6	86.35741325467825	-4.6434154657911E-6	73.10089070521869	-3.7595546379958796E-6
