Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
207.1130433057545	-38.082799098454416	1.1838483897348244	1.7313188433647155	3.0180926344224384	0.4650566892491447	0.31456674432212656	-0.1467470314640265	-1.9779973618557455E-5	-2.466878648606902E-7	6.860334023059997E-8	3.968348417446993E-7	3.161277048729504E-7	8.662576171752608E-7	-1.5158904222397946E-7
208.04692179036132	-47.92602231632918	-3.9349007960408926	-3.2654174245893954	-3.3319155488695418	-3.7700744618972144	-3.3601668842814187	-1.7597449112396975	-1.9810988688825622E-5	-2.28889992632392E-7	1.0957906695091969E-7	4.888807764699189E-7	3.4290350349945153E-7	1.0022553652956699E-6	4.945222795284352E-7
208.98085846567173	-45.67903943080455	-2.116161832585931	-1.390515322238207	-1.0773323774337769	-1.1854864805936813	-1.5605868277224628	-1.8305656457176576	-1.985721701369431E-5	-3.527808531594617E-7	6.923372968510393E-8	5.57857323956471E-7	5.350317000178489E-7	9.312401190332672E-7	-1.5482818607284753E-7
209.91473075878676	-46.055364575237036	-2.8748179332663617	-2.4439942836761475	-2.3675377273133824	-2.0421966347429485	-4.617051463235509	-4.923227126208635	-2.0261338188499545E-5	-6.560223268789272E-7	-5.981908843467236E-8	2.8893189784496437E-7	5.0843064757068E-7	7.278748838442529E-7	-2.1789694091952836E-7
210.8486270595798	-47.977098003961146	-5.557604929432273	-5.404103557020425	-5.209712240312781	-5.2787851774030266	-5.554834027181972	-5.901760005607055	-2.0766066202599688E-5	-8.012032646786157E-7	-2.7256649405980513E-7	2.6692395774511235E-7	3.0684926642180204E-7	7.201621808631333E-7	-3.4628051170067296E-7
211.78256494271815	-48.699537641368806	-6.558291693528493	-6.377621626108885	-6.34812076815537	-6.303069125447008	-6.413098925216631	-6.517353359323281	-2.0940969464739497E-5	-8.96017844677409E-7	-3.6176172032780993E-7	2.167237743184861E-7	3.4298811688837877E-7	7.491760075059898E-7	-3.7982865709094787E-7
212.71643581628857	-49.02016239520162	-7.3695039475957556	-7.077005963772535	-7.068678070391927	-6.93240373250511	-7.085983709178188	-6.939095951616764	-2.1077682069508012E-5	-9.537483818227832E-7	-3.6762310062809275E-7	1.195422019694694E-7	2.2112955564984203E-7	7.332281243922957E-7	4.468147499511559E-8
213.6502905912411	-49.27600092999637	-7.903066040948033	-7.578261505067348	-7.769967635827405	-7.568112562100093	-7.543240976604548	-7.252510509238793	-2.110611554356637E-5	-9.487084335413137E-7	-4.6837738080992035E-7	1.4598242447249503E-7	2.7654985776532617E-7	7.167872199072875E-7	1.3295224957773845E-7
214.58413401568035	-49.5720740519464	-8.261848434184989	-8.139869791269302	-8.256519947733198	-8.128259759810236	-8.067000181837516	-7.952026057701844	-2.1145077639640243E-5	-9.646377609614457E-7	-3.4276197641801547E-7	1.0132759061381991E-7	3.189473464379017E-7	7.797395732166064E-7	2.291182491415177E-8
215.5180415310866	-49.912696779705584	-8.627016381671032	-8.423138665407896	-8.518897240715367	-8.698680559794107	-8.682532034137033	-8.117594759051617	-2.117339797598944E-5	-9.399666267966033E-7	-4.533857123621731E-7	1.4283522061222186E-7	2.530764216567352E-7	7.87298576429034E-7	-1.4408097465478764E-8
