Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
340.6389558854118	26.65001389849931	18.105882859478395	17.546017009019852	16.78397779592446	16.073032708631622	15.498067351227457	16.569562029953186	-1.0726952173668923E-5	-5.073618895689956E-6	-3.817120582705531E-6	-3.1314981186540388E-6	-2.434506899083198E-6	-2.0870761960431364E-6	-2.1698638619081534E-6
341.5726905434148	26.55832880921662	18.0509714204818	17.532104506343604	16.622731186449528	15.914325140416622	15.244986712932587	16.69046430518994	-1.0651284793992835E-5	-5.106902108040207E-6	-3.779353817670399E-6	-3.149949286044865E-6	-2.4793285574065024E-6	-2.0944716389213557E-6	-2.2129636230811895E-6
342.50643338489755	26.38695254083723	18.022461192682385	17.463385564833878	16.521598533860274	15.949677516188887	15.345588095486164	16.70923100469204	-1.0694238269836536E-5	-5.083893149030773E-6	-3.7589819879091737E-6	-3.1650961060813868E-6	-2.473858349242772E-6	-2.0523398215681424E-6	-2.086984800882789E-6
343.440186351898	26.41827978938818	17.93511266944309	17.419666528701782	16.445035871650493	15.768481813371181	15.41320533847267	16.4181672970836	-1.0670167007367792E-5	-5.046201361327222E-6	-3.748120805787769E-6	-3.0829238870250117E-6	-2.464452879366531E-6	-2.011815565113739E-6	-2.1607533259366445E-6
344.3739945846824	26.328591129742563	17.916206181049347	17.343271984905005	16.475777047021047	15.7250203680661	15.338702083988624	16.095837958157063	-1.0611063457189208E-5	-5.077943222486016E-6	-3.767801554383285E-6	-3.0946066576148306E-6	-2.409578470465265E-6	-2.1389504148637382E-6	-2.118588711258503E-6
345.3077226587559	26.193491648882627	17.864273980259895	17.271106636524202	16.437922410666943	15.7796963867214	15.135732551867312	16.415136501766167	-1.065348855200821E-5	-5.018832954510323E-6	-3.741163929881229E-6	-3.150853313839885E-6	-2.3962954729960683E-6	-2.067579335116344E-6	-2.1578174732024655E-6
346.2414624332212	26.28987865522504	17.866440221046407	17.268048298358917	16.32655297432627	15.746699597272608	15.196876667439938	16.393292885560257	-1.0657469003410127E-5	-5.038053059830199E-6	-3.7714185947646873E-6	-3.1355147677512824E-6	-2.3717941506534496E-6	-2.071665428808505E-6	-2.1621529303761237E-6
347.1752441664958	26.17264576256275	17.792837627852958	17.270110910385846	16.385685449200018	15.787170024381744	15.267512051896615	16.430265023158146	-1.0655987294112877E-5	-5.023878631181154E-6	-3.7866404177747267E-6	-3.136094496623029E-6	-2.366161566675441E-6	-2.1638665313775086E-6	-2.034393594437439E-6
348.1089770644924	26.224786940030754	17.853197779506445	17.249804858863353	16.472194715269975	15.698757936557135	15.332059165970845	16.273167088054695	-1.0634586911675219E-5	-5.046094938140308E-6	-3.7479422223243223E-6	-3.041618771051731E-6	-2.418322454063684E-6	-2.081390900619419E-6	-2.117830774801634E-6
349.04269776547176	26.252662992104888	17.824569390465815	17.267201109975577	16.48751859260457	15.947972598175207	15.286587975241922	16.565943356889946	-1.0676191310837984E-5	-5.050291211479804E-6	-3.7977483957409323E-6	-3.127072309748181E-6	-2.4547455371492962E-6	-2.1454257713723153E-6	-2.150141919617847E-6
