Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
252.1960917721965	-30.349485667422414	-2.4213728246589503	-7.276032906025648	-4.495592074734824	-6.107655295067364	-7.022000874308023	-7.14694576137341	-3.640004032297062E-5	-6.244593912087834E-6	-4.251768902292433E-6	-3.3303758487914853E-6	-3.336012868650952E-6	-2.5407322253892214E-6	-2.364744581311395E-6
253.12988473045615	-30.366689804010093	-2.3175439666956663	-7.104276137053967	-4.591907002031803	-6.081927174495326	-7.046472063118761	-6.964235143592725	-3.6454213234517934E-5	-6.236890921967425E-6	-4.1583257164610555E-6	-3.384288214884176E-6	-3.273323494665619E-6	-2.456892646576046E-6	-2.5578922986836677E-6
254.06370146381627	-30.153731585480273	-2.171932915225625	-6.944653045386076	-4.509547993540764	-5.933465559449461	-6.902068460529501	-6.71871976611706	-3.6455157325724946E-5	-6.2598191363094505E-6	-4.148309255136624E-6	-3.3420051115973665E-6	-3.376678601727426E-6	-2.559163661232719E-6	-2.3999101608989613E-6
254.9975634214854	-30.089234462939203	-2.0848899812748036	-6.883550029993057	-4.482489814715726	-5.752952667574088	-6.758765769953078	-6.6697686681380635	-3.644420639484442E-5	-6.282352093486208E-6	-4.167707772516555E-6	-3.436492916569146E-6	-3.3088195938226357E-6	-2.4332356875944903E-6	-2.3641301446539577E-6
255.93137261295084	-29.823580978438258	-1.9456472638994455	-6.678542906045914	-4.4441919177770615	-5.719296308855216	-6.617373792962595	-6.603945939586713	-3.64573097113167E-5	-6.27463901007691E-6	-4.116545104000159E-6	-3.4863330158321006E-6	-3.3688842419310044E-6	-2.5909555396223897E-6	-2.499366180315634E-6
256.8651932816483	-29.73383236117661	-1.8522627608229716	-6.486297702789306	-4.347111492284706	-5.624026008778149	-6.666678485545245	-6.5669548855378075	-3.646659104443673E-5	-6.321783974535622E-6	-4.083100727665759E-6	-3.446031087601698E-6	-3.399673384945053E-6	-2.586102486517379E-6	-2.4737309230569174E-6
257.799023663876	-29.663083139806986	-1.8055661898106337	-6.300457990169525	-4.322407620293753	-5.717704935206307	-6.439547899094495	-6.295985906743086	-3.6500960427737956E-5	-6.287129928374133E-6	-4.059118932293616E-6	-3.494362838941717E-6	-3.36229993745321E-6	-2.528013164184451E-6	-2.406532452775545E-6
258.73277193069197	-29.516238884069026	-1.7390743661671877	-6.2729176640510556	-4.383721098303795	-5.6474858447909355	-6.4895666329698125	-6.376968054817273	-3.646005710379363E-5	-6.306820884879443E-6	-4.033617591960611E-6	-3.5066680965411466E-6	-3.3459044048210154E-6	-2.528426256362618E-6	-2.3519256143651485E-6
259.6665801807613	-29.457016359083354	-1.6343762322018545	-6.0277698270976545	-4.331662093954427	-5.4982729785972175	-6.511251848529685	-6.264272556855128	-3.6459824800684645E-5	-6.277655636694086E-6	-3.976858490072885E-6	-3.510084559198482E-6	-3.355360163862043E-6	-2.5377018271814466E-6	-2.4225317421623985E-6
260.60038145339314	-29.46639251243323	-1.528885081410408	-5.995182286947966	-4.209278827267034	-5.4631456774142055	-6.398833634501154	-6.264490029559686	-3.651185518745083E-5	-6.299780249584535E-6	-3.994929653531595E-6	-3.546866841210909E-6	-3.405980178300584E-6	-2.5864778732749327E-6	-2.240447833845981E-6
261.53417081856554	-29.380587968975306	-1.461934706196189	-5.838004552572966	-4.206824931715216	-5.5815485293666525	-6.341564035551115	-6.188060445854297	-3.6512763016991866E-5	-6.324024486972497E-6	-3.939450220785353E-6	-3.517969075872581E-6	-3.440521170093946E-6	-2.71086501071111E-6	-2.5208181243455824E-6
262.46795855355	-29.2368572531268	-1.4222555582722027	-5.592040576040745	-4.14466734549829	-5.325054444372654	-6.225453129546209	-6.077296185378845	-3.65201237213955E-5	-6.341046398366851E-6	-3.886774478580073E-6	-3.559715081807296E-6	-3.3438774858526816E-6	-2.5488766279641516E-6	-2.373695187678947E-6
263.401827461479	-29.086059897206724	-1.415113518635432	-5.424950280040503	-4.121446120951857	-5.287026252183649	-6.239122617651116	-6.168886921153619	-3.656430756641217E-5	-6.346620856947731E-6	-3.851958137430535E-6	-3.5401157211458785E-6	-3.3950378861538264E-6	-2.598468899912243E-6	-2.3225417647679307E-6
264.33560683512513	-29.064592346549034	-1.2909029672543209	-5.217381770908832	-4.176421491163118	-5.356255307793617	-6.26843963157047	-6.2943986023847875	-3.6540107762401215E-5	-6.387138903927482E-6	-3.844755894571951E-6	-3.6054336258009193E-6	-3.4097613213853904E-6	-2.5195209927797414E-6	-2.323680807460264E-6
265.26940512537743	-29.057856837287545	-1.2647137958556414	-5.021650642156601	-3.990920799119132	-5.263688249720468	-5.971434149552476	-5.757311833592562	-3.65899714650936E-5	-6.339265100493784E-6	-3.846339222715459E-6	-3.6039245603221542E-6	-3.4060257006479503E-6	-2.5732746351448164E-6	-2.380743069848153E-6
266.20318143284106	-28.986408337950706	-1.1457668468356133	-4.739960210770368	-4.0153761346425325	-5.098109303249253	-6.080477820878679	-6.145572640574896	-3.6558984390390665E-5	-6.3486016390721E-6	-3.870746133994408E-6	-3.5818563113080676E-6	-3.4277502323408167E-6	-2.5243403728692176E-6	-2.4677966831232283E-6
267.13693049025306	-28.927148681133986	-1.1758076399564743	-4.463014770299196	-4.080145623002734	-5.150491564638084	-5.975993153046478	-5.809358634627783	-3.658311571921126E-5	-6.362184269502019E-6	-3.8017339736358294E-6	-3.6106036552741244E-6	-3.427054287111908E-6	-2.6457562931715342E-6	-2.4072174558736263E-6
268.0707175894952	-28.859184036031365	-1.0745609340568383	-4.162762825936079	-4.085897838430745	-5.182429465154807	-5.950537539341233	-5.9937275281319256	-3.650658830228108E-5	-6.352430793136321E-6	-3.722852059101148E-6	-3.6614814271109766E-6	-3.4228503225304415E-6	-2.58214712669258E-6	-2.3484005162590998E-6
