Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
779.8172428885915	114.57192322518677	116.3417466506362	115.90677884370089	114.02342861571482	113.53975431869428	112.42419107122855	112.98382906959607	-3.122934439295786E-6	-3.8184612225108906E-6	-3.906118072242819E-6	-4.024478061039161E-6	-3.7519844160443524E-6	-4.349274746155062E-6	-3.7809077353433748E-6
780.7511063395947	114.71278343256563	116.36267098287742	115.9469659715891	113.98068580989327	113.49798770000537	112.43052814020352	112.83723252037397	-3.1416746320301605E-6	-3.7923474652363457E-6	-3.891468275624095E-6	-4.035491437720594E-6	-3.69247071240878E-6	-4.384584244101033E-6	-3.697108194178228E-6
781.6850102231703	114.61073135584593	116.37358800383906	115.84246790781617	113.96262321834054	113.34011996703015	112.48345163261348	112.80578054143832	-3.216740200527341E-6	-3.7736404111417255E-6	-3.8552450998784996E-6	-4.016832172996403E-6	-3.62959354077133E-6	-4.4460420083328655E-6	-3.6935200017957666E-6
782.6189009905058	114.5168083095923	116.38179054297507	115.92413624599575	113.94345460832119	113.40969016485744	112.47784317555752	112.5395858969826	-3.219998205572722E-6	-3.759702323007005E-6	-3.9125855513871485E-6	-3.988063320411038E-6	-3.6994986227539053E-6	-4.452893321983746E-6	-3.8066309210023564E-6
783.5527824241119	114.50706341955811	116.35233473094802	115.96866717934608	114.00551023334265	113.47531899975405	112.43779765950008	112.99341410283859	-3.1408764444507066E-6	-3.7886193143253936E-6	-3.898015536748031E-6	-3.9838888401937675E-6	-3.6573029276078934E-6	-4.362248504207727E-6	-3.666334531047776E-6
784.4866833921861	114.57778524886817	116.32999376455943	115.8303504742682	113.9974161620651	113.23320459574461	112.21700468659401	112.5736763569025	-3.234748514663842E-6	-3.8174503331447245E-6	-3.878405567325104E-6	-4.026982819412529E-6	-3.6715792809486345E-6	-4.371394372442651E-6	-3.7335429428274835E-6
785.4205266499705	114.52658556681126	116.35006811531882	115.90970169901848	113.9357056543231	113.3643206200666	112.45754678073254	112.91695370066624	-3.232079228775815E-6	-3.821427665175371E-6	-3.8963789811369775E-6	-4.033832958923563E-6	-3.7002520672960404E-6	-4.50121703600896E-6	-3.880806923609755E-6
786.3544123491237	114.74754418153316	116.36063788334529	115.80898765772581	114.10974661473718	113.4408680126071	112.27474727481604	112.8688260402817	-3.2051604011612057E-6	-3.819695257132585E-6	-3.885915176614227E-6	-4.001181823660706E-6	-3.6754167482369344E-6	-4.420837763877762E-6	-3.8018703540631664E-6
787.2882713674485	114.56293696910143	116.31173058909674	115.8826711550355	113.94847490851369	113.42512381159597	112.52059441330758	112.83203496955909	-3.2158712701646193E-6	-3.817461596650044E-6	-3.878382212156882E-6	-3.96688926275551E-6	-3.604026330602847E-6	-4.509284538853342E-6	-3.7332098755722026E-6
788.2221248920141	114.5530244577676	116.28552356176078	115.77133063822984	113.8921150373561	113.19275925887956	112.34397345984524	112.66669331319056	-3.2388923261713123E-6	-3.7742081319684824E-6	-3.88584091954352E-6	-4.058081440872242E-6	-3.7654670121931608E-6	-4.396983904324527E-6	-3.7496500427347084E-6
789.1559988173422	114.51415009330958	116.39550370909274	115.79016215875745	113.92421959234136	113.44643235703309	112.5682049556212	113.07100015592117	-3.2346182762988274E-6	-3.795215665953073E-6	-3.908612371420584E-6	-4.010775263397489E-6	-3.732738449878419E-6	-4.521699602669287E-6	-3.649361874740194E-6
790.0899312677566	114.59583955910057	116.2955769362549	115.84783309027553	114.05633167283875	113.250266465048	112.32793466069482	112.78993281091635	-3.2700311478296913E-6	-3.7907576808312866E-6	-3.896857190295773E-6	-4.023958955548485E-6	-3.8133090486891996E-6	-4.435255222362701E-6	-3.7177832759266276E-6
791.0237671443405	114.48299136385322	116.27970464900136	115.84876411408186	113.93038121717316	113.41360315183799	112.12707368419929	112.77909026065699	-3.2373083190577944E-6	-3.829558656788886E-6	-3.891721332195208E-6	-4.055961221920135E-6	-3.638590865641782E-6	-4.453815539208302E-6	-3.803925016677016E-6
791.9576509692843	114.68797261826694	116.29576220052938	115.86270018741489	113.82238105790955	113.22553166250388	112.30342503366145	112.5106706069066	-3.18794279283765E-6	-3.830097812739213E-6	-3.9227527502498085E-6	-3.932033158484438E-6	-3.6954314547683133E-6	-4.4055166732874155E-6	-3.83942315849822E-6
792.8915182587064	114.4815646102652	116.3634446033587	115.80072257444263	113.92126818214145	113.37218415488799	112.13990050892939	112.94227984203742	-3.2006372180708132E-6	-3.786114649888847E-6	-3.852357609385643E-6	-4.0646994091384815E-6	-3.6776744289255338E-6	-4.45009942237917E-6	-3.7052389221463013E-6
793.8253505412487	114.64726060349494	116.31836706524093	115.79387153163552	113.85294467849391	113.19815285503864	112.07022360644557	112.93107054726435	-3.20872533003311E-6	-3.819126134264856E-6	-3.8995691481705935E-6	-4.0762565280130715E-6	-3.7098073692587165E-6	-4.380991667819959E-6	-3.7671559781614914E-6
794.7592383824726	114.55063473526388	116.26548637760182	115.81461862027645	113.83763485082558	113.36315493037303	112.40481676567684	112.8147300367172	-3.2630862691745695E-6	-3.8116272017282924E-6	-3.9153138024187344E-6	-4.0740995511523036E-6	-3.738241402089396E-6	-4.512553264247472E-6	-3.7450419772813368E-6
795.6930874407423	114.43276504892856	116.31529698893428	115.79995286092162	113.96000223500388	113.30354612900152	112.38867059079084	112.8984610495659	-3.2173561014266325E-6	-3.8255478507927786E-6	-3.886399666114504E-6	-4.061404237187656E-6	-3.7151139410463504E-6	-4.334061814336801E-6	-3.650868200843704E-6
796.6269551892409	114.51919674966484	116.29330454704662	115.90390293523669	113.901743025652	113.56171217146847	112.16982699117877	112.85892669971173	-3.234085568650435E-6	-3.80244373006814E-6	-3.867574928921266E-6	-4.046355628626924E-6	-3.6837663888925998E-6	-4.437585184187482E-6	-3.7530545441983573E-6
797.5608360955858	114.46852418407798	116.19052035609882	115.68511776998639	113.99984254368714	113.27887811842892	112.19458259845322	112.76410578535153	-3.286158799086045E-6	-3.85810901728137E-6	-3.928888650998728E-6	-4.012059632065292E-6	-3.792643246541637E-6	-4.581139379098489E-6	-3.872582220914607E-6
798.4946703699976	114.44524081796408	116.31806443445385	115.72875504940748	113.75631764424699	113.25801485197411	112.30442313443531	112.30588437960698	-3.2401549214542487E-6	-3.7971917786586997E-6	-3.878858484667732E-6	-4.072992116066056E-6	-3.740684755017379E-6	-4.376846500984068E-6	-3.6996766319403437E-6
799.4285680129677	114.57605353649706	116.31341129727662	115.90296809151769	113.86791820824146	113.34605991260872	112.44160663675179	112.89549383177207	-3.2458629760454146E-6	-3.81827357839515E-6	-3.872695955034358E-6	-4.026364231352861E-6	-3.7215186043629045E-6	-4.4318551043144225E-6	-3.8037830923322215E-6
800.362453777923	114.37051343824714	116.23197271674871	115.68594638705254	113.86339429446629	113.31207916140556	112.2781687209552	112.88143023275413	-3.2524068469230965E-6	-3.835190458546496E-6	-3.89172426308178E-6	-4.039923252613934E-6	-3.801902505682004E-6	-4.386411076508359E-6	-3.959457198699954E-6
801.2963145197766	114.57722462527454	116.27762163616717	115.80411093235016	113.92434857679265	113.46821555991967	112.196032630449	112.84705254435539	-3.2572655364951895E-6	-3.8370108571848045E-6	-3.897320062672295E-6	-3.980133688323337E-6	-3.721571569054321E-6	-4.460296599768923E-6	-3.7470443218716156E-6
802.2301681280283	114.44418594054878	116.29729437145095	115.77269504666329	113.89620241629225	113.19817163629665	112.21873675896363	112.56796905054496	-3.260901265862172E-6	-3.835250312019369E-6	-3.9218594116444344E-6	-4.04766371952465E-6	-3.7201023218801744E-6	-4.476965751421937E-6	-3.886633900419348E-6
803.1640203548822	114.45070182718337	116.24286239221692	115.87517747879028	113.80689940708024	113.29669458998575	112.25361367179589	112.71372004999564	-3.223868523029869E-6	-3.837204559056242E-6	-3.916445840620791E-6	-4.086341254715188E-6	-3.7054126733274416E-6	-4.486737135415652E-6	-3.82268211239061E-6
804.097913920298	114.51494520809501	116.23506708194812	115.76904574930668	113.77208667461362	113.18861303395695	112.19933064078742	112.65024488992415	-3.247470423170854E-6	-3.8312920932603975E-6	-3.8917918724408365E-6	-4.024614819424214E-6	-3.781407954378432E-6	-4.452901006939242E-6	-3.574234988495381E-6
805.0317620194103	114.45236048102379	116.25737516768277	115.70236240923404	113.78888741880655	113.30578192820151	112.36373593184081	112.74025837217386	-3.325875619009306E-6	-3.815247369723775E-6	-3.88559979035266E-6	-4.092001457973771E-6	-3.6567287789405226E-6	-4.561897903819411E-6	-3.709490998386454E-6
805.9656609031098	114.46029671560973	116.19619952701032	115.69576174393296	113.8950100126011	113.14963038845195	112.30251626602627	112.96610301331832	-3.2835118993026526E-6	-3.8036486884284436E-6	-3.928141425987126E-6	-4.0765604763997405E-6	-3.7118712330945443E-6	-4.427629269795265E-6	-3.740853437803163E-6
806.8995310800212	114.51667602080852	116.21471530944109	115.54860957190394	113.85763782262802	113.20365820576747	112.19122523408045	112.81030366168572	-3.230607938231123E-6	-3.842427693542659E-6	-3.920663325768773E-6	-4.06703370043826E-6	-3.745179059775415E-6	-4.508876464485168E-6	-3.8439300860049685E-6
807.8333970064061	114.48481804318726	116.29730598007639	115.75762055814266	113.7207355552486	113.26577027390401	112.33729450607842	113.09935378569823	-3.279551422272827E-6	-3.806522919840808E-6	-3.8587092533424745E-6	-4.058542696328259E-6	-3.7210919612974507E-6	-4.439105517527132E-6	-3.951864768429476E-6
808.7672592915435	114.51980567164719	116.19464640629788	115.73872657194734	113.76293275824615	113.23862163474162	112.32731596041809	112.64774551873023	-3.3172698241062232E-6	-3.824574635842256E-6	-3.900836819651591E-6	-4.08491913969732E-6	-3.730729451882395E-6	-4.413176781828976E-6	-3.856239744539432E-6
809.7011319263127	114.49992891214788	116.1623786414663	115.73288693502545	113.91276739644152	113.1178737655282	112.10128832743926	112.66556612001015	-3.282735670320791E-6	-3.827839702981738E-6	-3.858234407564678E-6	-4.045409587549877E-6	-3.7885625824378276E-6	-4.610501795967447E-6	-3.6580288456710617E-6
810.6350122608078	114.40252440050244	116.15674171224236	115.75578832402826	113.77670460087913	113.2796485937304	112.20302053473212	112.80526787673051	-3.265511689954639E-6	-3.842227206128879E-6	-3.909810465525359E-6	-4.063519346906414E-6	-3.7082245010642087E-6	-4.5985697795816966E-6	-3.725360405314407E-6
811.5689057518373	114.48417905624956	116.22357775891821	115.70858055502177	113.84945143546376	113.03905282666285	112.21474476226352	112.72573622029562	-3.294962316391435E-6	-3.83735190731508E-6	-3.952475771576316E-6	-4.024960183116841E-6	-3.7215164261258487E-6	-4.48755959607831E-6	-3.7848236769902777E-6
812.5027851022597	114.34546762146056	116.19996699256201	115.75842895358801	113.77588600878205	113.15334190262689	112.05496564710683	112.46856599931533	-3.2837912551365823E-6	-3.8199373196319704E-6	-3.913346119040304E-6	-4.127728977530463E-6	-3.7579117126471757E-6	-4.628730886218596E-6	-3.8090863219837444E-6
813.4366433863743	114.4565805029124	116.14486598285536	115.78838356137275	113.87601311079094	113.16337218715086	112.17984363572164	112.90062266072401	-3.2992323912761005E-6	-3.8498226693455386E-6	-3.88532537756557E-6	-4.045898427509518E-6	-3.724697903358226E-6	-4.42018518391741E-6	-3.7124538163181098E-6
814.370523459683	114.27096623834223	116.20342076569796	115.72643884792924	113.79611062258482	113.06153532862663	112.28117392618547	112.81336408968156	-3.29339069035146E-6	-3.827759428534085E-6	-3.892723503504662E-6	-4.0441833853054125E-6	-3.7347473580233697E-6	-4.388759343499862E-6	-3.6778655804277263E-6
815.3043955513333	114.38916817680001	116.21153731830418	115.68688907772302	113.68577707878181	113.33847899403837	112.1526125235991	112.70810925960541	-3.296325244598686E-6	-3.837426644408845E-6	-3.901039214887904E-6	-4.083059983853626E-6	-3.639324704798568E-6	-4.465294193001942E-6	-3.7507947957294576E-6
816.2382599417062	114.22929374035448	116.18890891720851	115.61151614487171	113.79641863597291	113.2595147266984	112.33657767149535	112.78548216132018	-3.330968413099017E-6	-3.833561935643432E-6	-3.906030056486027E-6	-3.96884158955545E-6	-3.7491992878217262E-6	-4.566603555701955E-6	-3.794564507358052E-6
817.1721365243272	114.41579820401967	116.22719171394904	115.59201749041677	113.73867056838104	113.14471208883657	112.27430903505196	112.34271403516715	-3.253072724444296E-6	-3.854928544762856E-6	-3.918572444372366E-6	-4.0781781666982025E-6	-3.8378997662889114E-6	-4.49084922704122E-6	-3.858938420023495E-6
818.1060471326181	114.37717962730676	116.18259873179097	115.60929404646159	113.70620771710362	113.38275883926286	112.31508294696158	112.28646191438803	-3.2817553204548882E-6	-3.87953987537106E-6	-3.927393895688776E-6	-4.087030546225654E-6	-3.7564922260220634E-6	-4.374700270730274E-6	-3.825905927887406E-6
819.0399101979776	114.34722320642322	116.1637984427313	115.6229100689292	113.73898871988058	113.06319726589653	112.16057656231251	112.48439353761765	-3.2584588421544452E-6	-3.850940844703834E-6	-3.900914025538647E-6	-4.0753030874132035E-6	-3.745007133220527E-6	-4.343454114918326E-6	-3.619691712012193E-6
819.9737966405194	114.31265351176262	116.16816095014413	115.67498313039542	113.72909354418516	113.00169604437218	111.94922583347017	112.66145997952957	-3.2895557697395442E-6	-3.835849187715609E-6	-3.8865972719462935E-6	-4.0669181471452245E-6	-3.77564789863082E-6	-4.439882848325942E-6	-3.860818874401806E-6
820.9076893579995	114.2409433061257	116.12527814693749	115.66436969563365	113.73962286221129	113.06823807375298	112.19065394455737	112.5471527880201	-3.3105500398705506E-6	-3.85605082917412E-6	-3.945102770784521E-6	-4.053278261893762E-6	-3.746216986282838E-6	-4.46062604109377E-6	-3.7325541589820597E-6
821.8415349017416	114.37316092662513	116.14820658912261	115.63496406450868	113.7655796589596	113.22249299287796	112.06568067249927	112.60944662816249	-3.319638056564994E-6	-3.853282285151585E-6	-3.926958681017237E-6	-4.101275195756977E-6	-3.759317905606478E-6	-4.533842274382448E-6	-3.7666836630320064E-6
822.7754324587615	114.3608509413898	116.10473726751904	115.63409119471908	113.83688628034932	113.02976884113417	112.06466051462021	112.35986233674564	-3.2942313392528614E-6	-3.843954899852343E-6	-3.951157075513732E-6	-4.081006150920949E-6	-3.7263006763666286E-6	-4.449446787259165E-6	-3.7545891909187965E-6
823.7093313925286	114.39857056550682	116.18770253285766	115.74334395527839	113.67381467563766	113.10925893485546	112.14927335557613	112.51178248799764	-3.2772317198125436E-6	-3.838447989096326E-6	-3.917574403315124E-6	-4.118541485470723E-6	-3.7601642783017142E-6	-4.452472294050742E-6	-3.9040313650702855E-6
824.6432036848091	114.4652018584311	116.16119991987944	115.61839485689998	113.84328374373061	113.06313599728875	112.13838106393814	112.38084013702777	-3.2731841200580474E-6	-3.873604439032891E-6	-3.908677283136479E-6	-4.0908656891558545E-6	-3.6656707717361287E-6	-4.498327125066859E-6	-3.7538438720738116E-6
825.5770346921701	114.24253867566586	116.19310199345152	115.66454545408487	113.64830783009529	113.15345545775361	112.10102683644403	112.75777773616406	-3.333344115958117E-6	-3.860739596050209E-6	-3.890504715618547E-6	-4.090666530498719E-6	-3.801793831054127E-6	-4.478518199458597E-6	-3.718271888591862E-6
826.5109177390353	114.25053673796356	116.1756202566127	115.6221064068377	113.83261856330293	112.99499439530902	112.02727156742053	112.8296722047604	-3.279973117442333E-6	-3.82780015064312E-6	-3.9179208656723815E-6	-4.127900971992714E-6	-3.886008926668239E-6	-4.468866580094831E-6	-3.794643761157647E-6
827.4447729892745	114.42140353657305	116.11747774481773	115.68034285381437	113.72862677595445	113.09267369492187	112.05113645913926	112.78190026890773	-3.3897759273645873E-6	-3.872722821668845E-6	-3.883377520811802E-6	-4.096592514358645E-6	-3.738838482533958E-6	-4.4487519193107055E-6	-3.7147858501562146E-6
828.3786711063397	114.33279309794307	116.16848646849394	115.67241116538644	113.7336216494441	113.13326114830043	112.21018484641205	112.62347000951951	-3.3028901738188293E-6	-3.855772440347941E-6	-3.928677390711984E-6	-4.085221832236851E-6	-3.804507696567451E-6	-4.582953710839527E-6	-3.6943283164380238E-6
829.3125493818533	114.3221914190799	116.22138684801757	115.55149864852429	113.76226313199315	113.07988132370843	112.25637296654962	112.74364264653279	-3.3310349611732513E-6	-3.831274857593077E-6	-3.893368340197222E-6	-4.073173978636673E-6	-3.7886817261101997E-6	-4.555021140854353E-6	-3.857942594379083E-6
830.246455458879	114.26791981887072	116.14525071904063	115.48650592565536	113.7826444240553	112.99322999765475	112.10902923277833	112.4476494829242	-3.368149370502416E-6	-3.852491327946525E-6	-3.927986468397153E-6	-4.095022984066738E-6	-3.7681340194104055E-6	-4.500820792222981E-6	-3.694560803568672E-6
831.1803352005478	114.26175149343908	116.18725984171033	115.58238438814878	113.62819463759661	113.07952759249343	112.0639498152516	112.41719017235133	-3.291984879355038E-6	-3.871338674611431E-6	-3.90829345453265E-6	-4.085643281045184E-6	-3.7329604254055844E-6	-4.466643581061322E-6	-3.684413811373311E-6
