Time_(s)	Delta_F/n_n=1_(Hz)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=1_()	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
894.6211899081305	0.1401017215102911	0.10708549991250038	-0.09100254252552986	0.24676371046475	0.21195449348953035	0.0841008797287941	-0.13882433049953902	-3.593618975387524E-8	1.067884772336337E-9	-2.5437439281155404E-8	3.78845388135596E-8	-8.531463108950267E-8	1.2831543947305424E-8	8.443605543514922E-8
895.5549356235097	0.02621160726994276	0.014869730919599533	-0.051520983874797824	0.08095265818493706	0.017816948393980663	-0.03990627960725264	-0.04163696158390779	-3.349043052261339E-8	3.152659849029122E-8	5.218974233355857E-10	5.38310641766854E-8	-1.6054354286121754E-8	-1.745320176226126E-8	-1.9076278982249986E-8
896.4886698218414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
897.4224595141234	-0.10723360348492861	0.03956344102819761	-0.1412541799247265	0.15615384706429072	0.14572555323441824	-0.09947418489239433	0.052487063293273635	2.5041833578878618E-8	1.482408606940733E-8	-1.586246406969083E-8	-2.13231848227133E-8	-1.4504910821801372E-8	-2.501186811703119E-8	1.535621462411471E-8
898.3562547889767	0.020467677153646946	-0.016703488305211067	-0.08876767829060554	-0.012261613139084407	-0.07323443061775631	0.2810416052287275	0.13488701043220666	-6.14785960762745E-8	5.583763917329978E-9	1.7764458077376135E-8	-1.0200743396130384E-8	-6.859134207995801E-8	1.0774638935802502E-7	1.8004512076515806E-8
899.2899915147847	-0.08576242346316576	-0.007656902074813843	-0.18089863061904907	0.23171712990318025	-0.10356171098020342	-0.021962015466256576	0.09072827777037254	4.369458766844119E-8	1.2128903747240377E-9	1.8494946521117536E-8	9.885349887476364E-8	-2.9213463358177937E-8	-6.733481920102164E-8	5.262054747444118E-8
900.2237331992219	0.01908861193805933	0.047456029802560806	-0.1711198754608631	0.17164551786014012	0.02782645407650206	0.09881875054402785	0.1039381124652349	3.907786206316889E-8	3.280136126257438E-8	1.495836556128418E-8	3.520326621823792E-8	-7.1844686406411905E-9	-6.654679584564439E-9	1.6821431504372795E-7
901.1574608747786	0.1744623063132167	0.09127722804745038	-0.10391452312469482	0.06937156404767718	0.1687876275844044	0.143560799008066	0.012168601728402652	-2.3994657888696484E-8	1.2402848477611637E-8	3.04195732915135E-8	1.8875975616477916E-8	-4.054632011896511E-8	5.206174216756368E-8	-6.825182713820327E-8
902.0912195336658	0.011616782285273075	0.09217167769869168	-0.0995594620704651	0.1252608128956386	0.039654074443711176	0.02926548028534109	-0.10468410585935299	4.141251316630741E-8	3.770544334673635E-8	5.037627277782938E-9	3.28486090525105E-8	-8.517844738787153E-9	4.229851841216234E-8	-9.883670818904629E-8
903.0249724347422	0.03923569805920124	0.12115904502570629	0.005403956770896912	0.2725259991628783	0.2095101997256279	0.2792923721400174	0.007555650403866401	3.741922644499461E-8	1.4602054271891513E-8	-5.516163667089761E-9	4.602602174846914E-8	3.5231715719266556E-8	6.204396981350838E-8	1.055291032867235E-7
903.9586933747356	0.12502287328243256	0.14828915086885294	0.0372078150510788	0.2568176899637495	0.08688377257850435	0.02157437124035575	-0.05047740672643368	-4.6060815272054405E-9	3.698788730976802E-8	1.5747417209224833E-8	6.122272617405003E-9	-4.019459634953867E-8	-1.790622117782089E-8	3.4704352080885265E-9
904.8924135830204	0.140123026445508	0.17073395227392515	0.06889531388878822	0.2159510850906372	0.10974343783325619	0.07296754961664026	0.0015051662921905518	2.142309114464393E-8	3.103291786044071E-8	4.317404552628152E-9	-2.960019547563152E-8	-1.003881729602624E-7	1.0241869437342243E-8	4.177175201860951E-8
905.8261421893642	0.09268170595169067	0.049481925865014396	-0.08656034246087074	0.057580413562910895	-0.09493187069892883	-0.02284463969143954	-0.05025021617229168	1.4647693864853605E-8	-7.831221531169087E-10	5.493241755490596E-8	1.3414554151953278E-8	-9.155839718687057E-8	-8.487732224551285E-8	9.597312908625575E-8
906.7598577883037	-0.10667183808982372	-0.0605529248714447	-0.1314973585307598	0.00437416136264801	-0.15226106925143135	-0.05587780882011761	-0.47916185970489794	-2.5711024043096817E-8	1.936630839859967E-8	1.8692374586549987E-8	3.810596439320004E-8	-3.6529121164862745E-8	1.7034205480065553E-8	1.4025866136069037E-7
907.6936157038006	-0.25773167237639427	-0.1614457288136085	-0.28411894887685774	-0.0596691614815167	-0.03538363261355294	0.009788197549906645	-0.641541814001707	-6.279491731751765E-8	4.9511692449465084E-8	1.791484975437966E-8	7.664668897216533E-8	-1.4548528057018329E-8	-4.251230517179276E-8	5.211379362249325E-8
908.6273599372886	-0.17888180073350668	-0.19985155947506428	-0.37744583040475843	-0.2539056848202433	-0.31529536263810265	-0.37698608162728225	-0.40654106323535627	-2.7955929958120573E-9	9.16554799288219E-9	5.789546509633631E-8	1.3123658941947207E-8	-1.3846754401744934E-8	-1.0076740530312448E-7	9.654381633778018E-8
909.5610746279731	-0.253326996229589	-0.2589740262677272	-0.33850115314126017	-0.07899014332464763	-0.23435509453217188	-0.16157562285661697	-0.2834222001525072	6.574659978470171E-8	2.6924172748314353E-8	2.7642395554195983E-8	9.474356625220658E-8	-4.835277873257407E-8	-2.214978785275597E-8	-1.1012701637929095E-10
910.4948446033974	-0.10392217244952917	-0.235569570834438	-0.4029147304594517	-0.450806944497994	-0.3868398873342408	-0.17289552837610245	-0.6099973974319605	5.2117301943554756E-8	3.922732276146249E-8	3.573541881488453E-9	3.756536330579933E-8	-6.099097606628479E-8	-4.555655477137574E-8	2.5935881046624154E-8
911.4285525952356	-0.4451876627281308	-0.2920457323392232	-0.43185586482286453	-0.2923732591526849	-0.14382289184464347	-0.3845587386326356	-0.3653535344279729	-2.1858221618234648E-8	1.9917047516457287E-8	2.4416192883865758E-8	8.712063886231775E-8	5.325333290941321E-8	-6.159856395955825E-8	1.7662739047407902E-7
912.3623011431488	-0.3059361632913351	-0.3372687343508005	-0.4644392356276512	-0.2096442569579397	-0.2620200821095043	-0.2161289765076204	-0.3050334402001821	4.357295883719407E-8	6.817196862788223E-8	2.1706505480751682E-8	6.05728960883801E-8	5.813424443318837E-8	7.470290787816984E-8	8.421836896124063E-8
913.2960622086315	-0.2808386394754052	-0.26398678434391815	-0.37595902383327484	-0.2493645761694227	-0.4763936781220966	-0.4280727763067592	-0.25944629999307484	-1.2184126421872256E-8	5.887854374748134E-8	3.9918453490552517E-8	6.930191720849418E-8	-8.929043502371975E-8	-3.738177027211992E-8	1.0952423934036909E-7
914.2298062501931	-0.27828098740428686	-0.2807903680950403	-0.3332773968577385	0.011232527238982064	-0.14597411702076593	-0.2592316676269878	-0.04016641011604896	3.109092509552373E-8	8.784736457164528E-8	2.896965697332058E-8	4.628426253288427E-8	-2.6565804044705477E-8	-6.463609052301874E-8	-4.0394198352690955E-8
915.1635413319855	-0.04341384582221508	-0.2400488511969646	-0.34276682436466216	-0.10964752733707428	-0.22954478114843369	-0.12457731908017938	-0.6146507245989946	7.159388451467895E-8	5.982999769043023E-8	7.037196991837224E-8	9.334160636495427E-8	-3.3608506106157926E-9	-2.5584742701755935E-8	-8.477834309503489E-8
916.0972709404026	-0.38351114373654127	-0.2295430600643158	-0.3897229075431824	-0.20680746648992812	-0.17223943521579108	-0.15225312046029352	-0.3067585166830283	-2.2921752836514014E-8	7.190799656577301E-8	5.4451063072048734E-8	3.48235569015145E-8	5.04261759734189E-9	3.550054169103073E-9	7.296662602063609E-8
917.0310215503972	-0.1984820505604148	-0.2349568431576093	-0.41966672241687775	-0.12486929872206279	-0.12734570685360166	-0.26432100480253046	-0.45616417206250703	4.145176837753095E-8	9.298541284391906E-8	-1.497756611668218E-8	5.893289757873165E-8	3.78046138634785E-8	1.2940690343734781E-8	-1.2907382948419113E-7
917.964718450287	-0.13292011339217424	-0.18128923699259758	-0.3215140111744404	-0.06755818958793368	-0.17859017352263132	-0.3568113283677535	-0.07522938629755607	1.0769344559424495E-7	6.554317098908307E-8	5.983552263575894E-8	-8.27900698527112E-9	4.5964000078876476E-8	-2.5506602223794605E-8	2.2456276800183973E-7
918.898449559905	-0.04953779000788927	-0.040832203502456345	-0.15268352180719375	0.10845136110271726	0.11072209063503477	0.12533125619996677	-0.04771703825547145	6.419747225873754E-8	3.8695395011134745E-8	1.4245427173406643E-8	9.196154470035773E-8	-2.3174731893826407E-8	5.14545566473578E-10	-2.1558162511482108E-8
919.8322107087153	-0.04483519587665796	0.025758675610025723	-0.11473089680075646	0.20469732050384795	0.03089847250117196	0.11105305566029115	0.05258475989103317	8.474651400693653E-8	5.505859459447996E-8	6.400382339988059E-8	1.1260010027904096E-7	4.178126765115413E-8	1.5088747898020114E-9	2.5845152578640187E-7
920.7659307086255	-0.018507441505789757	0.047380972653627396	-0.10095996335148812	0.1368130828653063	0.05378193242682351	0.027895207432183353	0.16609329214462867	1.0106196760212901E-7	8.409898621396824E-8	3.268164371737097E-8	2.5869968501061012E-8	2.1211460101943345E-8	9.155418125384796E-8	1.0228130229273204E-7
921.6996354605935	-0.05147047434002161	0.015307563667496046	0.027095264941453933	0.14024968445301056	0.23032109356588787	0.06877435608343645	0.1475841122177931	1.0439236657896296E-7	6.886959327286448E-8	7.152364422529115E-8	6.681893502760196E-8	2.495425616524157E-8	-4.5784303253341594E-9	3.5580224094420004E-8
922.633362511136	0.10835426207631826	0.18779596127569675	0.06851467341184617	0.14697655716112681	0.17586399780379403	0.25704187019304797	0.08462112454267648	1.3507455102871897E-7	5.291831176070503E-8	1.1005006677307166E-7	3.550357666224442E-8	2.7832251973654385E-8	3.043963637709224E-8	-2.8371309173126353E-8
923.5670707690482	0.13720363099128008	0.2279681246727705	0.012016388028860093	0.17224160262516566	0.16101964977052477	0.2023964382030747	0.39667428170259184	1.4414773800638936E-7	5.8063558982125035E-8	2.4855510319187575E-8	3.887906833623274E-8	8.44701886665468E-8	-3.075904023210085E-8	5.044368396419003E-8
924.5007833024034	0.1480363178998232	0.2771530418346326	0.09760286062955856	0.36862154730728697	0.25889675070842105	0.40373230996457016	0.21533133204166705	1.2866764411372357E-7	1.0572822681080302E-7	3.608940299677636E-8	7.179530478328589E-8	-8.29392471260286E-9	-1.0857880584951496E-8	-7.644758213292725E-9
925.4345148505919	0.22951143141835928	0.1992076300084591	0.1077023059129715	0.39779091094221386	0.4036312657925818	0.4577959450808438	0.2995869190647052	1.3478157628762618E-7	4.613804923200458E-8	6.37583010801746E-8	6.626814621484988E-8	-3.3001591269059055E-8	2.0343171872500313E-8	5.206470480003593E-8
926.3682690078956	0.21346135437488556	0.280568178743124	0.16907579451799393	0.3710930847695896	0.3737541933854421	0.06726372851566835	0.2788445238883679	8.813580229679284E-8	8.380796684390765E-8	2.9577866414654463E-8	9.75754310480624E-8	-3.1835441644900795E-8	-6.233177809738687E-8	3.3021009239369626E-8
927.3020052159774	0.29970577638596296	0.3465867495785157	0.1278739169239998	0.44886774144002367	0.27717949946721393	0.31045287576588715	0.2709816493667089	7.931164030687337E-8	4.121828976329472E-8	7.284707694327924E-8	3.6525449036722986E-8	4.178643943143518E-8	-7.392354039305684E-8	2.0854766410649734E-7
928.2357613825546	0.20633260998874903	0.2865433568755786	0.18130538538098334	0.5520804556352752	0.31654990050527787	0.2872010191733187	0.3143626789634044	1.0472745569888031E-7	4.53686552962353E-8	6.065495649482371E-8	1.2583760298584762E-7	-5.6758511594111436E-8	-1.0528398315440193E-8	6.476443662353055E-8
929.1695214826797	0.11757823824882507	0.28334315307438374	0.08978438302874565	0.38295643244470867	0.20470595359802246	0.15700460902669214	0.25660540622014266	7.507097999471081E-8	8.768215272505478E-8	5.1521606146313166E-8	6.643439307428187E-8	-4.043379117190781E-8	4.9386745497320564E-9	1.8332094803051667E-7
930.1032517835827	0.1927233524620533	0.12762966565787792	0.007340202480554581	0.28446258498089655	0.3091891606648763	0.2694947082887996	0.19828002670636544	4.355979687880023E-8	6.589649452072945E-8	7.213352699999903E-8	7.956428475346935E-8	4.4905284546573727E-8	7.401832836367449E-8	-8.841465640754788E-9
931.0369826661075	-0.06727821193635464	0.13972477987408638	0.03577578291296959	0.24162940680980682	0.01199954996506373	0.1748192777687853	0.1282575044494409	2.5014406717532335E-8	7.919395831853301E-8	1.7032768157948215E-8	8.463553696172899E-8	1.644532988414227E-8	7.24305773131521E-8	1.5645593483655995E-7
931.9706878068173	0.05691598914563656	0.11761813921233018	-0.022721985727548598	0.2539620835866247	0.1779429225458039	0.16214519468220798	5.35196982897245E-4	8.454781451355418E-8	5.609404947202784E-8	8.176288969464172E-8	2.7488414740161802E-8	-2.8665344443284425E-8	8.536495182712395E-8	1.1857574531837895E-7
932.9043569408376	-0.014726570807397366	0.07212924398481846	-0.0034209780395030977	0.07237189901726586	0.23926535331540638	0.03279595822095871	0.07850989126242124	1.357276432124052E-7	1.1934225958078757E-7	7.505676647749323E-8	9.838188952409786E-8	2.7141199213892944E-8	8.658393282250446E-8	9.898667179016724E-8
933.8380431242886	-0.0790613517165184	0.0036808066070079803	-0.09915258884429931	0.1111974333013807	0.13067655927605099	0.0655029836026105	-0.04769749423632255	1.4408064504542809E-7	1.1335411190984269E-7	2.5670162667073594E-8	1.4527394267765752E-7	7.949024137448375E-9	3.002156174912896E-8	1.0315654288922899E-7
934.7717634151878	-0.16397911123931408	-0.046539912621180214	-0.06355540007352829	0.07159602748496192	0.12826010833183923	0.18556511402130127	0.14817526993843225	1.3449683437300906E-7	1.0591092661614717E-7	9.355162296223398E-8	8.791453487655377E-8	3.0584910499820454E-8	-6.99645316237351E-9	4.9153640671988357E-8
935.7055194503963	-0.26633016485720873	-0.058369734014074005	-0.11228196322917938	0.0792707662497248	-0.13503034743997785	-0.22297965531999414	0.07373473735956046	1.1713417637644304E-7	1.1095352417088704E-7	1.3254639054589065E-7	6.732067720035433E-8	1.8485326327966328E-8	6.42570960530291E-8	1.8725929789286668E-7
936.6392556653914	-0.33389563020318747	-0.10453954090674718	-0.16870078667998314	0.006834121687071664	0.06645165963305368	-0.014397879215804014	0.0794081579034145	1.0562127643922977E-7	1.2718570840882263E-7	1.2844537590817376E-7	1.3403223920363907E-7	6.303986873728825E-8	-1.731490403780614E-8	9.156949131079468E-9
937.5729664412443	-0.293500404804945	-0.06286822259426117	-0.3439698562026024	-0.03534524781363351	-0.09964677443106969	-3.33166935227134E-4	-0.11064236897688645	2.1774752946281074E-7	1.412994214015429E-7	1.629862947134927E-7	9.598620925905133E-8	1.1316902063642571E-8	-2.8535305549311327E-8	1.27097554058155E-7
938.5067338181435	-0.49041380546987057	-0.17730184396107992	-0.2009420208632946	-0.1145825417978423	-0.2650216933753755	-0.20312412828207016	-0.0866446730036002	1.6295719088867382E-7	1.5836294448625396E-7	1.291056016131185E-7	1.1096867021737273E-7	-3.741277496633396E-8	-2.6447308715406943E-8	5.5965174870797364E-8
939.4404057089985	-0.701590171083808	-0.23873813388248286	-0.385719083994627	-0.14778401596205576	-0.12312617649634679	-0.09219484302130612	-0.104165497307594	2.0917820191186957E-7	1.904416917893547E-7	1.1584495105288611E-7	1.701933314466025E-7	9.956183619600249E-8	4.4546501665686765E-8	2.5331374507524783E-7
940.3741163572964	-0.6758844163268805	-0.2842453836152951	-0.35793690383434296	-0.2622858839375632	-0.1614099202884568	-0.2162937041033398	-0.0671168714761734	2.195079787845034E-7	1.8378528597679726E-7	1.8056173468715539E-7	1.2021855431935545E-7	-2.6575311903669595E-8	3.416793715396314E-8	-1.945231417146997E-9
941.3078524987394	-0.7274030204862356	-0.43038724176585674	-0.3843721717596054	-0.17845723032951355	-0.13876046902603573	-0.0016806748780337248	-0.3502251121860284	1.5853685931388863E-7	1.7003643002890868E-7	1.4233119843511848E-7	1.0793999715281955E-7	4.549519805179816E-8	1.2965073029557427E-7	1.467173223887523E-7
942.2415547750875	-0.7151138344779611	-0.38453915404776734	-0.4245396502315998	-0.2647551872900554	-0.1563642985290951	-0.25363021750341763	-0.15108468268926328	2.503041987252704E-7	2.1114689253306476E-7	1.873034930192799E-7	1.3448390273081536E-7	3.919974350238202E-8	-9.67080690430621E-10	2.2709450041618273E-7
943.1752940994195	-0.7948083570227027	-0.36911261702577275	-0.3766899615526199	-0.24182322302034923	-0.11685149868329366	-0.15741575847972522	-0.34513703962931264	3.444067628976654E-7	1.9941127246412616E-7	1.6742016353799537E-7	1.6254971903680037E-7	9.125386824193572E-8	9.023273637676847E-8	2.1545177118874727E-7
944.1090443668057	-0.8485591858625412	-0.3715649259587129	-0.43672666549682615	-0.15988001014505113	-0.16684704273939133	-0.23774513399059122	-0.016157556038636427	3.392470304203416E-7	2.2617475107760267E-7	2.128334211004741E-7	1.9396750272434216E-7	9.212629759816485E-8	5.029060792707384E-8	4.4837275883433114E-8
945.0427408681791	-0.7688337918370962	-0.27664605900645256	-0.3952963165938854	-0.21831370890140533	-0.20368314534425735	-0.2630450502038002	-0.1778374216877497	3.596392752855545E-7	2.1985216880341025E-7	1.5823064335480507E-7	2.3557518336187724E-7	9.481954253603747E-8	5.778846234560085E-9	1.6677373266150292E-7
945.9765094192876	-0.8123071352019906	-0.3573718157907327	-0.3547851212322712	-0.11840843835047313	0.02298775315284729	-0.1155276203697378	-0.22082823801499146	3.1526831666660055E-7	2.1514853732536744E-7	2.104957064177806E-7	1.82518868002064E-7	9.437943174084459E-8	2.0383941817242045E-7	2.1831771480379676E-7
946.9102410516392	-0.7717068949714303	-0.17855859672029814	-0.3380379766225815	-0.080228576702731	0.03595281889041265	-0.08253136074001138	-0.06622236967086792	4.168695885186963E-7	2.812799709689406E-7	1.8746096491764814E-7	2.099231057881224E-7	1.2913871875136842E-7	3.544581586340141E-8	3.3345603783711667E-7
947.8439566768059	-0.891059453599155	-0.38126312134166557	-0.38874671459197996	-0.08238466616187777	-0.03544186966286765	-0.08760531923987648	-0.1017739325761795	3.588052990175731E-7	2.2392405745735714E-7	1.7666507675631517E-7	2.5643505712332143E-7	7.320473914009494E-10	-1.0874674867848363E-8	1.4426112953739027E-7
948.7777031370053	-0.9836059780791402	-0.4379451237618923	-0.4471635058522224	-0.2822957379477365	-0.30145976030164295	-0.17060864581303162	-0.5569221079349518	3.3748548011871887E-7	2.7188045222237126E-7	2.021743800146962E-7	1.91613102372594E-7	2.2098307572464748E-7	1.1156701004118644E-7	2.0804755471871665E-7
949.7114360029358	-1.2758630542084575	-0.5988649384429058	-0.5951670810580254	-0.5216019472905568	-0.3970371021164788	-0.3566593222997405	-0.5892210149994264	3.4756368063161916E-7	2.9317168929315907E-7	2.537395790699144E-7	2.3269340007674383E-7	4.917798559980898E-8	1.0369254970529589E-7	1.1168250962398471E-7
950.6451605952633	-1.4658630955964327	-0.7157853754858176	-0.6496371351182461	-0.510644942522049	-0.5634537761410078	-0.4307783923365853	-0.38776781811163974	4.103108834855175E-7	3.1559838032396855E-7	2.483703481995106E-7	2.4472114370241785E-7	1.9334330209073763E-7	1.332264904055797E-7	2.776246057864285E-7
