Time_(s)	Delta_F/n_n=3_(Hz)	Delta_F/n_n=5_(Hz)	Delta_F/n_n=7_(Hz)	Delta_F/n_n=9_(Hz)	Delta_F/n_n=11_(Hz)	Delta_F/n_n=13_(Hz)	Delta_D_n=3_()	Delta_D_n=5_()	Delta_D_n=7_()	Delta_D_n=9_()	Delta_D_n=11_()	Delta_D_n=13_()
1031.154302164396	-0.09260625578463078	0.08529151007533073	-0.232024114046778	0.2370850576294793	-0.2755808268081058	0.06572855894382183	7.268444143028506E-9	-8.714221985865289E-8	1.7395347350637963E-8	-2.1481165097386994E-7	-4.1211202644899866E-8	-4.309599863581146E-8
1032.08812179025	-0.09434774642189343	0.003185468167066574	-0.15729035011359624	0.18827473041084078	0.18101693215695294	0.055716606286855846	-6.098073530755007E-9	-1.0958109223865344E-7	2.4429198682967288E-8	-1.775348087386039E-7	-1.2574014865393047E-7	6.343182059082996E-8
1033.021958515843	-0.045874918500582375	0.14710255116224288	-0.12468876370361873	0.22411481042702994	-0.22472610595551404	0.1858070699068216	2.9034009113256855E-8	-1.4785892514811204E-7	3.5638614514292804E-8	-1.6380657646882782E-7	-1.7196726262991833E-7	7.80183204994228E-8
1033.9557929566674	-0.025261186063289642	0.05960459560155869	-0.10626667205776487	0.3008533716201782	-0.1003242250193249	0.19108647337326637	-1.4597359490056087E-9	-1.8807018070898752E-8	3.140735863679941E-8	-1.7169157418686957E-7	-1.2089262838897523E-7	-9.918532153525817E-8
1034.8896150334665	-0.07365404131511848	0.013941046595573426	-0.19539629987307958	0.2850004318687651	0.016105785288593986	0.017254476363842305	1.7984572013595747E-8	-9.423114203171924E-8	-2.1427652929323316E-9	-2.223819470026703E-7	-6.369503060577074E-8	-6.015499570047442E-8
1035.8234076484014	-0.15539761694769064	0.1684701845049858	-0.22180900509868348	0.2969735446903441	-0.17276339029723947	-0.07893273119743054	1.269117954529205E-8	-1.0339942460436242E-7	-4.685438389499168E-8	-2.174687633816827E-7	-6.29341588310057E-8	4.7818322722079456E-8
1036.7571733054695	-0.18608442259331545	0.15772548988461493	-0.1274124032684735	0.172989116774665	-0.10541248998858711	0.12308959490977801	2.7339372817979535E-8	-7.699209966457749E-8	-2.658573780919696E-8	-2.1951596963867045E-7	-5.402036645279693E-8	6.68360458227639E-8
1037.690975121813	-0.12277946434915066	-0.029738235473632812	-0.09972640765564782	0.1873805754714542	-0.24875867976383728	-0.20325433290921724	-4.0835502386764484E-10	-1.093663984222989E-7	1.7851028159845375E-8	-1.533888851077336E-7	-1.2147524021670787E-7	5.5334991614362E-8
1038.6247984619897	-0.09162878493467967	0.08753607347607613	-0.3074765130877495	0.17705318911208046	-0.0573638765649362	0.15046246292499396	-1.2674138352562108E-8	-8.37799538697245E-8	4.054998849140144E-8	-2.7166187106057445E-7	-1.4093870487002862E-8	-4.27985408303134E-10
1039.5586443105478	-0.09058223478496075	-0.010114622861146927	-0.33236307970115114	0.2366188797685835	-0.058975050395185295	-0.1463559797176948	2.140516407026817E-8	-9.966291174376852E-8	-9.897328939196387E-8	-1.7111464762628115E-7	2.9772678788298314E-8	6.833587074140258E-8
1040.492446176243	-0.09404832248886426	0.03222240060567856	-0.23350633893694198	0.14291327446699142	-0.2365254590457136	0.20039208749165902	-2.807196415859775E-9	-1.1526045700293794E-7	-6.576780418310053E-8	-1.9613595085519737E-7	-1.820252566941353E-7	9.196154361172388E-8
1041.4263111597998	-0.05832913517951965	0.06132641062140465	-0.1636570053441184	0.3536365156372388	-0.09003656763922084	0.056334822796858273	1.8652829630942365E-8	-1.314244173982555E-7	4.975902775709547E-8	-1.70332164304234E-7	-4.1921522399900675E-8	1.2023432115767054E-7
1042.3601028769688	-0.17911107279360294	-0.014870066195726395	-0.17228082248142787	0.35795847409301335	-0.025489677759734066	-0.11642842911756955	-1.2205838308636642E-8	-1.4194704474018E-7	3.740935529240679E-8	-1.9303911794856172E-7	-2.889980166624845E-8	5.757088340154913E-8
1043.2939182534901	-0.1126706109692653	0.2566684424877167	-0.23640560890947068	0.0690523816479577	-0.17280485210093585	0.09277937561273575	-4.512221751107196E-8	-7.513962189628111E-8	2.830752812216968E-8	-2.0946578466905167E-7	-1.6915142705511738E-7	9.275754277121389E-8
1044.2277032801564	-0.1926354051878055	0.010010427981615066	-0.1851984549845968	0.28178223305278355	-0.14433252540501681	0.117292209313466	-7.180964538034155E-9	-1.2785185603920654E-7	-5.703105326548504E-9	-2.8454814944969874E-7	-4.2058425837827656E-8	9.870390339768522E-8
1045.1615564534147	-0.09628599385420482	0.025479649007320405	-0.24224087383065904	0.1929266999165217	-0.2786256007172845	0.4011151526982968	4.963875284988775E-9	-1.2133424412657905E-7	-8.024198589411764E-9	-1.4305415884632768E-7	-1.4351642406020102E-8	1.112053290070245E-7
1046.0954027705873	-0.10487410115698974	0.10531205385923385	-0.2740292623639107	0.1549501046538353	-0.11935967816547914	0.05528380320622371	9.06935897611533E-10	-2.0722822340250402E-7	-3.9003866287475584E-8	-2.3005075859928515E-7	-1.2729963009820602E-7	1.20831713217983E-8
1047.029180669732	-0.12324217955271403	0.011121600121259689	-0.2560595242040498	0.1546659486161338	-0.06185613843527707	-0.23674696053449923	-4.7907732190501616E-8	-1.6538311859280882E-7	-1.5732485424995086E-8	-1.773227410043946E-7	-9.697230594787973E-8	1.1669088792438205E-8
1047.963012952396	-0.06427617743611336	-0.015921805799007416	-0.08706235779183251	0.10606333778964148	-0.1766157177361575	-0.045342277448910936	-4.9970428360864233E-8	-1.4216930297822556E-7	2.617085829133086E-8	-2.3920925073231045E-7	-1.384047364867073E-7	6.143328926539989E-9
1048.8968253453486	-0.15405821427702904	-0.007608595490455628	-0.22634347528219223	0.25332741025421357	-0.0719775604930791	0.1535296096251561	-2.9210306662569904E-8	-1.594911884696278E-7	1.3481692015296603E-8	-2.439735329258822E-7	-4.83766254014492E-8	1.8817961240080445E-8
1049.8306032223209	-0.05465739654997984	0.10688622146844864	-0.1300394907593727	0.20515739172697067	-0.014200173995711586	0.038931699899526745	-2.9647257690095007E-8	-1.2403759153283337E-7	-1.9422266145309626E-8	-2.8207886718519773E-7	-5.528506829672556E-8	5.221307368555924E-8
1050.7643747230284	-0.1379716551552216	0.15366601720452308	-0.12575968780687877	0.15486010164022446	0.0605119832537391	-0.1735899901160827	-1.5206248589271594E-8	-1.6397759366833437E-7	-9.264617248074198E-8	-2.392039921251079E-7	-5.373584368625732E-8	-3.340291661840897E-8
1051.6981924639442	-0.11134240900476773	0.13977123349905013	-0.24034377081053598	0.3338119230336613	-0.19622249359434302	-0.11999677236263569	-5.583015995865091E-8	-1.4777429660145567E-7	-3.2268301255550464E-8	-2.8244983828414375E-7	-1.6424799024283658E-7	1.3370205012416456E-7
1052.6320291280251	-0.11610526777803898	0.08435645624995232	-0.10251845100096293	0.10384951283534367	-0.08889101242477243	-0.027467895585757036	-3.15022557312002E-8	-1.6611121186581855E-7	-6.763620730337644E-8	-1.9152718888774446E-7	-1.5154183974790722E-7	1.537394293157744E-7
1053.5658471211907	-0.045401642099022865	0.12230183333158492	-0.17548705637454987	0.23322751290268368	0.03579225933009928	-0.10854152246163441	-1.703881993760396E-8	-1.8208024150714332E-7	2.8352001414216335E-8	-3.235858212776268E-7	-1.959526017916046E-7	3.994426323541034E-8
1054.4996773036225	0.04634733125567436	0.0487650454044342	-0.170269641493048	0.24321813384691873	-0.03699228912591934	0.04310123278544499	-5.421141058620433E-8	-1.7717258063944447E-7	-3.371153379507722E-11	-2.1386919840408135E-7	-1.497300838693925E-7	-8.314446382902093E-8
1055.4335006117353	-0.03265966847538948	0.11589766666293144	-0.170269641493048	0.2886929222279125	-0.1178646670146422	0.0	-9.10636288705064E-8	-1.8452696413969317E-7	-3.371153379507722E-11	-3.161439587428638E-7	-2.372210113383178E-7	0.0
1072.3678885598927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1073.3018272519862	0.02671816572546959	0.0	-0.11160611254828316	-0.020454407566123538	-0.0398780649358576	0.0	-1.7267765868041575E-8	0.0	-2.0886334666363215E-8	-1.3886041137732281E-8	-1.581032481182739E-7	0.0
1074.2356918574117	4.1670228044192E-4	-0.0175252303481102	-0.24015271025044577	0.051510786844624415	-0.021362905475226315	2.751954584167554	-1.4385166021124154E-8	8.673839340463292E-9	-5.285552156746704E-9	4.30705318922429E-8	-1.1159002365901264E-7	7.09255664707703E-7
1075.1695472090985	0.056179724633693695	-0.06425452902913094	-0.1530562032546316	0.024661891990237765	-0.07355654984712601	2.6239649813908796	2.2937754071952667E-8	2.292908602929641E-8	-2.5121962816840272E-8	4.774679976995424E-9	-3.8172592975991605E-8	7.478650604391323E-7
1076.1033538515105	0.0835691038519144	-0.044698739796876906	-0.03019897426877703	0.018217409650484722	-0.09796200286258351	2.8304516959648867	5.824342288736177E-9	-5.7437781920960515E-8	9.945452237556133E-9	-6.277860885809262E-8	-4.951822646498123E-8	9.20001280835543E-7
1077.037180641843	0.0036046293874581656	-0.030861049145460128	-0.1671829436506544	0.034046499265564814	-0.08781355009837584	2.989322661780394	-9.920262479128127E-9	2.0794441863358163E-8	-6.229672842987283E-8	1.5390819670414442E-8	-1.3156911646196746E-7	7.626927361533429E-7
1077.9709921829217	0.05745273518065611	-0.00501791164278984	-0.10336770755904061	0.25806186762120986	-0.021470384164289993	2.7712065119009752	-9.474673218841552E-9	-1.9820670867797983E-8	-6.123728434938042E-8	2.4290813813770333E-8	-9.125303296256672E-8	8.167108016227478E-7
1078.9048581599686	0.011368692542115847	-0.09229787811636925	-0.07168592299733843	0.07466392467419307	-0.03643429617990147	2.884600172822292	-4.666616359533466E-9	-7.07855978164453E-8	-1.0686429199528822E-7	4.920264221015347E-8	-1.1504613843092042E-7	9.511266675140952E-7
1079.8386720736712	0.013597133879860243	-0.025407516956329347	-0.02580310297863824	0.021067973640229967	0.03462688624858856	2.918161409978683	-5.252501614666548E-9	-9.865781702684097E-9	-1.125938157373605E-7	2.349333077316068E-8	2.1000818548630538E-8	6.543179317970705E-7
1080.7725432290513	-0.03229705865184466	-0.09536530748009682	-0.18615511911255972	0.17213558240069282	0.017447464845397255	2.595314707893592	2.2199558548851792E-10	-1.8284748411168898E-8	-1.0822784104345593E-7	4.308619509611755E-8	-8.44442743689293E-8	7.505981077845906E-7
1081.7064293778633	0.009299283847212791	-0.0738163635134697	-0.15108328525509154	0.0057252198457717896	0.04852629385211251	2.781517776732261	2.044746892594304E-8	-4.650203918495619E-8	-3.7531805911061996E-8	2.2362170862508008E-8	-1.2430416618849352E-9	7.874636196457304E-7
1082.6402700103008	0.07185883944233258	-0.13561394512653352	-0.2202486406479563	0.3108508868349923	-0.008096119896932081	2.898926393343852	-1.150257343193739E-8	-6.576248491656179E-8	-7.226258540087385E-8	8.541681048624165E-8	-2.9105528226696514E-8	7.783352366393499E-7
1083.574118342109	0.005798958241939545	-0.10794408991932869	-0.21357589534350804	0.44909071094459957	-0.11962773379954425	2.5192295467624297	-1.7582251534499537E-8	-1.8346570382999977E-8	-3.258257393214505E-8	3.755851852804367E-8	3.5290171738371675E-10	6.140559431486371E-7
1084.5079339110348	0.048608945682644844	-0.05129318237304688	-0.11654635518789291	0.35121692882643807	0.113246850669384	2.539121426641941	-3.3647846497183043E-9	1.0587823105480095E-8	-3.4402765325248596E-8	4.453102583870021E-8	5.7170938621184625E-8	7.565303815842506E-7
1085.4417291588268	0.016879992559552193	-0.125542064756155	-0.21548769090856826	0.3939716617266337	-0.0465431193059141	2.7138542744975824	-2.857481284357084E-8	-1.1700902686269821E-8	-5.3327393076971295E-8	7.064173566552067E-8	-5.4350791014098616E-8	8.049455879454429E-7
1086.3755012239874	0.002463520814975103	-0.012985093146562576	-0.020907652165208544	0.4317508695854081	0.07170904495499351	2.7815499678254128	-2.0984908863250435E-8	-2.223591290834311E-8	-1.0407525433360541E-7	1.7963064817059344E-8	-1.068515423684809E-8	8.363119245866952E-7
1087.3092892504412	0.02457003854215145	-0.11723571494221688	-0.15168276322739466	0.48832342359754777	0.007110412825237621	2.5099908680869985	2.2090542253647366E-8	-2.673396063741394E-8	-6.649335293083727E-8	5.167231148407584E-8	8.429628584285978E-9	7.50677983242645E-7
